Grassland,Year,LDMC,[N],ANP
switchgrass,2016,27.78,22.39,319.09
switchgrass,2016,22.28,24.55,353.99
switchgrass,2016,25.17,24.69,329.51
switchgrass,2016,27.6,22.59,274.73
switchgrass,2017,27,22.48,279
switchgrass,2017,26.05,23.14,303.87
switchgrass,2017,25.7,22.16,290.24
switchgrass,2017,25.44,20.36,280.59
switchgrass,2017,23.47,21.33,320.48
switchgrass,2017,27.34,20.04,249.64
switchgrass,2017,22.69,22.84,318.34
switchgrass,2017,22.52,21.56,312.12
switchgrass,2017,21.59,22.75,329.18
switchgrass,2017,21.62,21.73,342.22
switchgrass,2017,20.07,23.17,403.11
switchgrass,2017,24.38,18.83,309.62
switchgrass,2017,22.99,21.97,339.48
switchgrass,2017,43.44,14.61,134.63
switchgrass,2017,29.74,19.34,229.9
switchgrass,2017,28.72,19.65,228.06
switchgrass,2017,32.35,17.98,191.42
switchgrass,2017,25.42,19.94,251.4
switchgrass,2017,28.91,19.03,217.69
switchgrass,2017,29.77,17.75,211.3
switchgrass,2017,33.76,17.61,177.53
switchgrass,2017,30.75,17.76,189.26
switchgrass,2017,29.42,17.89,207.72
switchgrass,2017,30.29,18.59,197.21
switchgrass,2017,29.07,17.82,211.3
switchgrass,2017,22.7,18.48,273.36
switchgrass,2017,33.61,18.38,158.27
switchgrass,2017,21.41,20.71,300.02
switchgrass,2017,32.47,16.81,165.31
switchgrass,2017,23.74,21.37,266.49
switchgrass,2017,31.22,17.68,197.21
switchgrass,2017,30.47,18.43,205.16
switchgrass,2017,32.13,17.46,189.32
switchgrass,2017,31.52,16.9,201.89
switchgrass,2017,35.05,16.66,169.63
switchgrass,2017,30.45,18.55,198.81
switchgrass,2017,27.79,18.42,237.73
switchgrass,2017,29.92,18.84,205.03
switchgrass,2017,30.87,18.2,199.47
switchgrass,2017,33.95,19.35,163.49
switchgrass,2017,21.3,19.17,316.43
switchgrass,2017,34.14,16.27,160.73
switchgrass,2017,25.43,19.38,262.41
switchgrass,2017,31.06,18.62,207.93
switchgrass,2017,30.84,18.96,211.58
switchgrass,2017,32.09,16.91,200.28
switchgrass,2017,30.28,17.05,218.13
switchgrass,2017,37.38,16,161.37
switchgrass,2017,30.26,18.04,206.47
switchgrass,2017,28.11,18.32,238.93
switchgrass,2017,31.13,18.3,210.59
switchgrass,2017,30.98,18.22,211.23
switchgrass,2017,30.9,19.29,215.37
switchgrass,2017,36.21,17.57,169.12
switchgrass,2017,30.36,17.94,202.91
switchgrass,2017,34.11,17.83,181.07
switchgrass,2017,38.64,15.54,146.73
switchgrass,2017,29.67,16.7,211.72
switchgrass,2017,27.87,17.84,234.88
switchgrass,2017,35.27,16.59,188.31
switchgrass,2017,27.82,20.33,260.75
switchgrass,2017,29.39,20.38,251.32
switchgrass,2017,30.44,19.92,235.75
switchgrass,2017,27.9,20.19,248.06
switchgrass,2017,28.54,20.68,257.37
switchgrass,2017,27.66,17.62,212.29
switchgrass,2017,36.67,16.81,146.54
switchgrass,2017,32.48,18.4,181.01
switchgrass,2017,39.38,16.8,142.33
switchgrass,2017,28.22,18.52,221.74
switchgrass,2017,24.6,19.39,260.31
switchgrass,2017,34.48,17.29,166.37
switchgrass,2017,34.89,17.71,165.37
switchgrass,2017,33.2,17.06,169.86
switchgrass,2017,24.75,22.02,281.91
switchgrass,2017,35.46,18.39,169
switchgrass,2017,32.49,18.01,181.92
switchgrass,2017,27.12,19.72,231.76
switchgrass,2017,29.7,17.33,198.41
switchgrass,2017,34.62,18.28,160.24
switchgrass,2017,26.51,19.77,233.71
switchgrass,2017,31.98,18.14,168.95
switchgrass,2017,29.39,17.98,187.55
switchgrass,2017,35.18,17.34,149.76
switchgrass,2017,30.52,18.25,180.89
switchgrass,2017,30.48,18.34,181.68
switchgrass,2017,27.6,20.27,203.93
switchgrass,2017,33.22,17.64,163.44
switchgrass,2017,26.61,17.13,207.17
switchgrass,2017,23.46,21.97,285.61
switchgrass,2017,26.67,20.43,240.37
switchgrass,2017,35.09,18.41,163.33
switchgrass,2017,31.17,18.87,191.04
switchgrass,2017,35.93,17.79,162.4
switchgrass,2017,36.25,17.11,161.7
switchgrass,2017,35.62,18.34,168.16
switchgrass,2017,36.03,17.4,156.58
switchgrass,2017,32.51,18.51,182.29
switchgrass,2017,34.89,16.63,161.75
switchgrass,2017,33.62,18.1,171.92
switchgrass,2017,38.92,16.7,141.43
switchgrass,2017,32.45,18.96,180.89
switchgrass,2017,38.14,16.95,143.57
switchgrass,2017,30.92,18.6,185.55
switchgrass,2018,22.63,21.15,382.2
switchgrass,2018,22.93,24.49,368.26
switchgrass,2018,24.39,24.88,361.54
switchgrass,2018,22.84,21.67,335.53
switchgrass,2018,23.27,22.23,334.63
switchgrass,2018,23.07,22.49,341.99
switchgrass,2018,27.73,22.45,291.7
switchgrass,2018,23.28,20.18,323.72
switchgrass,2018,21.54,24.52,366.29
switchgrass,2018,21.87,22.98,357.57
switchgrass,2018,26.7,21.18,296.73
switchgrass,2018,24.39,19.97,334.29
switchgrass,2018,22.33,18.52,317.28
switchgrass,2018,29.2,22.24,243.21
switchgrass,2018,26.81,20.93,260.23
switchgrass,2018,26.55,21.33,297.32
switchgrass,2018,24.87,22.25,288.5
switchgrass,2018,21.38,26.1,342.11
switchgrass,2018,28.77,20.33,231.21
switchgrass,2018,25.03,22.79,300.12
switchgrass,2018,23.82,21.6,308.07
switchgrass,2018,24.44,22.86,303.76
switchgrass,2018,27.02,21.84,265.24
switchgrass,2018,25.94,23.02,253.52
switchgrass,2018,22.95,24.57,295.54
switchgrass,2018,23.88,22,343.48
switchgrass,2018,25.19,17.11,224.5
switchgrass,2018,31.89,18.59,211.87
switchgrass,2018,25.41,19.24,246.57
switchgrass,2018,30.84,18.17,222.18
switchgrass,2018,28.27,18.87,246.73
switchgrass,2018,24.21,20.89,284.75
switchgrass,2018,26.88,18.86,255.99
switchgrass,2018,29.74,14.76,238.21
switchgrass,2018,24.77,19.63,269.63
switchgrass,2018,22.78,21.6,307.86
switchgrass,2018,30.53,15.35,223.83
switchgrass,2018,27.72,18.76,270.35
switchgrass,2018,24.86,19.21,278.34
switchgrass,2018,25.22,19.34,315.37
switchgrass,2018,23.45,21.38,328.08
switchgrass,2018,22.55,21.4,330.84
switchgrass,2018,23.5,20.58,332.84
switchgrass,2018,22.84,20.68,332.28
switchgrass,2018,22.55,21.91,336.31
switchgrass,2018,21.68,22.76,339.37
switchgrass,2018,27.2,20.61,267.11
switchgrass,2018,26.26,20.96,297.92
switchgrass,2018,23.85,22.37,311.38
switchgrass,2018,27.38,21.87,263.82
switchgrass,2018,24.83,22.58,289.95
switchgrass,2018,24.72,22.42,290.14
switchgrass,2018,34.89,16.09,179.56
switchgrass,2018,29.84,18.75,246.57
switchgrass,2018,40.23,15.76,160.46
switchgrass,2018,26.87,20.15,266.93
switchgrass,2018,31.45,18.97,215.08
switchgrass,2018,28.93,18.07,310.14
switchgrass,2018,26.92,18.65,270.62
switchgrass,2018,31.55,16.44,219.23
switchgrass,2018,31.54,20.17,267.74
switchgrass,2018,27.04,21.38,317.49
switchgrass,2018,26.56,21.31,291.02
switchgrass,2018,26.15,21.56,289.46
switchgrass,2018,26.87,22.07,274.27
switchgrass,2018,32.11,19.22,238.13
switchgrass,2018,29.94,18.63,248.14
switchgrass,2018,31.96,18.71,232.92
switchgrass,2018,33.32,17.94,218.2
switchgrass,2018,30.12,18.72,255.31
switchgrass,2018,31.38,18.59,258.66
switchgrass,2018,38.6,16.06,171.51
switchgrass,2018,28.66,20.07,273.9
switchgrass,2018,33.99,16.32,222.03
switchgrass,2018,32.94,20.84,266.58
switchgrass,2018,29.55,19.14,271.71
switchgrass,2018,30.83,19.28,261.19
switchgrass,2018,26.74,21.14,312.95
switchgrass,2018,27.77,20.78,260.14
switchgrass,2018,31.8,18.34,214.58
switchgrass,2018,30.74,20.48,210.66
switchgrass,2018,32.11,18.58,200.21
switchgrass,2018,32.01,19.97,204.34
switchgrass,2018,26.99,23.12,258.66
switchgrass,2018,25.73,19.55,252.84
switchgrass,2018,33.78,18.76,187.49
switchgrass,2018,26.24,18.54,240.61
switchgrass,2018,32.69,15.76,186.8
switchgrass,2018,30,16.5,195.11
switchgrass,2018,25.06,22.34,353.05
switchgrass,2018,29.86,19.17,255.73
switchgrass,2018,28.98,19.75,238.53
switchgrass,2018,27.88,19.95,251.4
switchgrass,2018,30.74,20.19,224.5
switchgrass,2018,31.09,18.58,223.45
switchgrass,2018,30.83,18.35,216.09
switchgrass,2018,27.71,20.67,245.83
switchgrass,2018,30.11,18.43,224.35
switchgrass,2018,29.15,19.48,216.89
switchgrass,2018,35.73,18.12,176.94
switchgrass,2018,27.44,19.86,245.74
switchgrass,2018,35.62,17.13,177.29
switchgrass,2018,29.59,19.36,223.83
switchgrass,2018,36.8,17.5,170.37
switchgrass,2019,17.61,18.32,466.63
switchgrass,2019,20.07,23.07,490.17
switchgrass,2019,21.94,21.91,416.13
switchgrass,2019,22.82,21.25,373.85
switchgrass,2019,23.83,21.49,346.26
switchgrass,2019,22.22,20.77,389.05
switchgrass,2019,23.77,20.97,310.86
switchgrass,2019,24.87,20.17,331.95
switchgrass,2019,24.53,20.23,308.27
switchgrass,2019,22.79,21.87,346.26
switchgrass,2019,22.56,21.4,344.52
switchgrass,2019,25.13,20.86,321.34
switchgrass,2019,30.24,16.1,220.77
switchgrass,2019,28.38,18.01,292.97
switchgrass,2019,28.04,17.55,293.27
switchgrass,2019,27.61,18.17,299.22
switchgrass,2019,25.67,18.35,341.08
switchgrass,2019,23.24,19.64,363.24
switchgrass,2019,23.7,18.66,352.93
switchgrass,2019,26.39,16.82,317.07
switchgrass,2019,27.08,16.24,327.31
switchgrass,2019,28.59,16.1,316.75
switchgrass,2019,26.54,17.23,300.12
switchgrass,2019,26.42,19.27,284.75
switchgrass,2019,25.05,20.53,307.45
switchgrass,2019,24.23,21.71,369.74
switchgrass,2019,25.27,19.66,273.54
switchgrass,2019,26.81,19.66,264.09
switchgrass,2019,26.26,18.27,243.7
switchgrass,2019,22.57,19.47,298.12
switchgrass,2019,29.41,17.79,229.9
switchgrass,2019,27.81,18.7,250.98
switchgrass,2019,35.02,15.14,185.18
switchgrass,2019,36.33,14.65,177.41
switchgrass,2019,33.31,18.67,194.53
switchgrass,2019,30.65,18.16,208.28
switchgrass,2019,34.56,15.32,196.03
switchgrass,2019,25.8,20.27,267.65
switchgrass,2019,32.11,16.32,195.83
switchgrass,2019,27.52,17.81,250.06
switchgrass,2019,22.41,19.08,303.05
switchgrass,2019,24.07,19.63,276.86
switchgrass,2019,21.94,20.89,337.33
switchgrass,2019,26.5,16.84,247.06
switchgrass,2019,19.32,20.45,447.8
switchgrass,2019,24.31,22.82,353.99
switchgrass,2019,27.17,20.96,292.39
switchgrass,2019,27.1,21.34,295.34
switchgrass,2019,26.47,20.52,322.1
switchgrass,2019,28.63,21.33,283.14
switchgrass,2019,29.22,19.61,263.73
switchgrass,2019,28.17,20.73,272.72
switchgrass,2019,28.62,18.65,249.22
switchgrass,2019,28.46,19.03,260.49
switchgrass,2019,25.3,19.23,307.86
switchgrass,2019,27.5,20.24,257.19
switchgrass,2019,30.76,17.17,225.78
switchgrass,2019,23.13,20.76,309.72
switchgrass,2019,19.69,21.31,347.07
switchgrass,2019,29.64,18.91,237.97
switchgrass,2019,27.86,18.52,282.66
switchgrass,2019,26.78,22.7,312.53
switchgrass,2019,31.93,19.38,229.83
switchgrass,2019,24.08,21.8,332.62
switchgrass,2019,26.34,21.23,278.72
switchgrass,2019,30,18.13,218.57
switchgrass,2019,29.7,18.43,199.54
switchgrass,2019,28.03,19.04,254.79
switchgrass,2019,33.01,18.23,204.41
switchgrass,2019,27.16,20.15,252.75
switchgrass,2019,26.81,20.72,275.75
switchgrass,2019,32.22,17.46,206.75
switchgrass,2019,23.61,20.95,298.52
switchgrass,2019,24.77,19.16,300.93
switchgrass,2019,27.03,21.88,298.42
switchgrass,2019,32.24,17.28,222.48
switchgrass,2019,31.81,16.83,233.55
switchgrass,2019,25.22,21.73,305.4
switchgrass,2019,25.29,20.72,239.73
switchgrass,2019,27.59,19.09,217.91
switchgrass,2019,25.05,20.73,244.02
switchgrass,2019,26.39,19.72,222.55
switchgrass,2019,20.57,19.55,274.55
switchgrass,2019,27.56,19.26,210.66
switchgrass,2019,20.31,22.27,292.09
switchgrass,2019,24.85,21.52,234.18
switchgrass,2019,19.64,22.48,282.85
switchgrass,2019,28.38,20.25,188.81
switchgrass,2019,26.73,19.38,204.55
switchgrass,2019,23.01,25.05,341.31
switchgrass,2019,24.5,22.66,282.38
switchgrass,2019,26.97,20.34,250.31
switchgrass,2019,24.11,21.43,300.53
switchgrass,2019,29.83,19.4,214.79
switchgrass,2019,30.16,18.91,217.4
switchgrass,2019,32.5,17.87,197.08
switchgrass,2019,28.17,20,245.25
switchgrass,2019,28.6,20.55,228.83
switchgrass,2019,25.68,20.46,248.06
switchgrass,2019,36.97,17.21,168.27
switchgrass,2019,27.66,20.8,234.8
switchgrass,2019,31.89,19.65,193.94
switchgrass,2019,29,19.27,217.76
switchgrass,2019,29.03,20.03,216.82
switchgrass,2020,21.19,22.72,350.1
switchgrass,2020,21.76,24.77,300.02
switchgrass,2020,22.05,23.54,295.34
switchgrass,2020,21.67,23.3,308.27
switchgrass,2020,21.25,22.28,296.43
switchgrass,2020,20.72,23.42,300.12
switchgrass,2020,21.51,20.01,295.73
switchgrass,2020,21.44,21.88,303.76
switchgrass,2020,20.39,22.23,307.86
switchgrass,2020,20.43,25.7,367.4
switchgrass,2020,20.91,24.6,348
switchgrass,2020,25.28,18.36,237.41
switchgrass,2020,23.33,18.84,254.03
switchgrass,2020,17.82,23.27,347.3
switchgrass,2020,19.66,21.25,261.45
switchgrass,2020,20.5,20.26,258.14
switchgrass,2020,27.32,19.27,191.68
switchgrass,2020,24.48,19.87,226.24
switchgrass,2020,26.7,19.14,199.21
switchgrass,2020,27.64,19.47,201.89
switchgrass,2020,26.57,20.25,208.84
switchgrass,2020,23.78,20.33,239.65
switchgrass,2020,26.24,18.97,214.58
switchgrass,2020,24.99,20.28,202.91
switchgrass,2020,23.03,20.54,232.92
switchgrass,2020,21.42,18.56,287.24
switchgrass,2020,17.6,21.97,413.77
switchgrass,2020,17.17,19.88,375.73
switchgrass,2020,23.53,18.96,279.46
switchgrass,2020,23.05,19.29,329.29
switchgrass,2020,21.74,19.33,275.38
switchgrass,2020,26.59,20.18,228.52
switchgrass,2020,26.82,16.91,232.69
switchgrass,2020,27.96,17.31,252.16
switchgrass,2020,26.98,21.26,232.38
switchgrass,2020,27.4,19.13,235.51
switchgrass,2020,25.69,17.49,221.29
switchgrass,2020,17.51,20.1,281.34
switchgrass,2020,27.22,19.19,222.18
switchgrass,2020,22.97,19.14,289.66
switchgrass,2020,24.41,18.96,263.56
switchgrass,2020,21.69,20.47,313.58
switchgrass,2020,20.55,18.17,321.77
switchgrass,2020,25.76,18.15,244.76
switchgrass,2020,21.36,19.77,325.78
switchgrass,2020,23.36,21.76,292.58
switchgrass,2020,28.21,19.61,244.1
switchgrass,2020,26.45,20.4,270.71
switchgrass,2020,27.29,20.84,264
switchgrass,2020,28.26,20.97,248.89
switchgrass,2020,25.77,20.31,271.53
switchgrass,2020,27.33,18.7,253.09
switchgrass,2020,25.27,18.45,234.18
switchgrass,2020,25.8,20.81,230.52
switchgrass,2020,23.32,22.49,278.16
switchgrass,2020,21.78,19.81,274.73
switchgrass,2020,29.47,17.76,211.72
switchgrass,2020,14.16,22.51,358.17
switchgrass,2020,19.47,24.08,314.42
switchgrass,2020,30.92,17.96,206.75
switchgrass,2020,29.63,17.33,224.95
switchgrass,2020,26.75,21.44,269.27
switchgrass,2020,29.53,19.42,221.14
switchgrass,2020,25.13,22.96,277.88
switchgrass,2020,26.61,22.71,263.21
switchgrass,2020,21.93,21.52,296.33
switchgrass,2020,26.65,21.21,210.17
switchgrass,2020,23.4,20.85,254.62
switchgrass,2020,23.34,21.99,252.42
switchgrass,2020,19.45,23.41,313.9
switchgrass,2020,18.95,26.7,370.49
switchgrass,2020,25.2,21.13,244.76
switchgrass,2020,21.58,21.23,275.84
switchgrass,2020,24.84,18.8,251.74
switchgrass,2020,25.64,21.81,264.35
switchgrass,2020,31.36,18.79,176.76
switchgrass,2020,29.06,17.53,212.08
switchgrass,2020,23.81,22.48,282.19
switchgrass,2020,23.65,21.22,278.16
switchgrass,2020,22.75,22.13,283.23
switchgrass,2020,22.24,21.31,302.04
switchgrass,2020,24.85,18.61,276.58
switchgrass,2020,21.82,17.52,301.74
switchgrass,2020,25.17,19.73,245.99
switchgrass,2020,22.29,20.65,298.42
switchgrass,2020,20.91,23.67,317.28
switchgrass,2020,23.01,19.6,273.36
switchgrass,2020,25.27,19.64,261.62
switchgrass,2020,28.93,16.79,211.37
switchgrass,2020,22.59,24.71,321.66
switchgrass,2020,21.42,24.78,297.32
switchgrass,2020,28.63,19.98,210.45
switchgrass,2020,26.02,20.22,244.19
switchgrass,2020,26.21,20.4,228.14
switchgrass,2020,28.85,19.99,201.08
switchgrass,2020,27.98,20.27,213.72
switchgrass,2020,23.9,21.98,277.88
switchgrass,2020,22.18,22.78,286.19
switchgrass,2020,20.14,24.29,321.13
switchgrass,2020,26.51,22.21,232.61
switchgrass,2020,25.71,22.23,235.59
switchgrass,2020,23.12,23.16,283.42
switchgrass,2020,27.93,19.96,216.24
switchgrass,2020,26.52,21.28,230.36
switchgrass,2021,26.62,18.55,274.64
switchgrass,2021,26.6,18.07,274
switchgrass,2021,26.98,18.16,274
switchgrass,2021,26.92,18.66,275.93
switchgrass,2021,26.72,18.6,275.56
switchgrass,2021,26.89,18.47,274.09
switchgrass,2021,26.92,18.83,276.02
switchgrass,2021,26.73,18.57,269.09
switchgrass,2021,26.42,19.18,273.81
switchgrass,2021,25.86,19.3,293.37
switchgrass,2021,25.98,19.84,323.39
switchgrass,2021,35.4,13.4,192.39
switchgrass,2021,33.72,15.94,203.59
switchgrass,2021,35.47,16.25,147.08
switchgrass,2021,30.78,17.17,182.11
switchgrass,2021,30.54,17.71,194.85
switchgrass,2021,32.81,17.17,164.54
switchgrass,2021,29.93,19.49,180.29
switchgrass,2021,30.89,17.51,180.17
switchgrass,2021,33.33,15.65,160.19
switchgrass,2021,30.79,17.23,172.9
switchgrass,2021,31.53,17.57,165.42
switchgrass,2021,35.31,14.79,153.01
switchgrass,2021,30.93,17.02,168.44
switchgrass,2021,30.04,20.57,174.99
switchgrass,2021,30.88,17.83,190.53
switchgrass,2021,32.44,18.36,187.3
switchgrass,2021,31.12,17.45,204.34
switchgrass,2021,28.28,18.59,216.89
switchgrass,2021,26.5,19.59,243.7
switchgrass,2021,29.2,19.27,196.56
switchgrass,2021,29.23,19.64,190.91
switchgrass,2021,31.99,17.38,181.01
switchgrass,2021,35.07,15.9,168.89
switchgrass,2021,31.75,17.97,175.99
switchgrass,2021,32,18.23,180.65
switchgrass,2021,33.91,16.63,209.4
switchgrass,2021,25.11,20.3,271.8
switchgrass,2021,33.47,17.81,180.53
switchgrass,2021,33.97,13.15,155.17
switchgrass,2021,30.95,16.3,158.32
switchgrass,2021,32.52,13.92,156.63
switchgrass,2021,31.11,14.08,172.67
switchgrass,2021,33.9,13.01,146.78
switchgrass,2021,33.12,13.01,164.54
switchgrass,2021,27.03,17.58,183.64
switchgrass,2021,29.2,16.82,170.65
switchgrass,2021,27.18,16.49,182.47
switchgrass,2021,27.94,18.04,174.06
switchgrass,2021,31.16,18.77,161.05
switchgrass,2021,30.54,18.26,155.07
switchgrass,2021,30.52,18.19,160.62
switchgrass,2021,36.21,13.07,162.13
switchgrass,2021,33.77,14.69,165.98
switchgrass,2021,34.17,11.4,168.21
switchgrass,2021,31.63,14.06,191.3
switchgrass,2021,35.26,13.94,156.11
switchgrass,2021,33.96,12.72,174.88
switchgrass,2021,29.38,16.85,192.45
switchgrass,2021,30.65,17.32,179.87
switchgrass,2021,29.43,16.54,192.58
switchgrass,2021,30.22,15.81,187.81
switchgrass,2021,33.45,16.12,161.81
switchgrass,2021,32.39,17.34,167.76
switchgrass,2021,31.76,17.03,172.38
switchgrass,2021,35.65,14.86,206.82
switchgrass,2021,35.99,14.89,190.47
switchgrass,2021,31.96,15.9,217.98
switchgrass,2021,34.5,15.8,196.23
switchgrass,2021,30.16,16.47,227.68
switchgrass,2021,n/a,n/a,n/a
switchgrass,2021,36.78,15.35,208.35
switchgrass,2021,27.54,18.17,262.76
switchgrass,2021,36.09,14.96,223.3
switchgrass,2021,30.52,18.61,288.98
switchgrass,2021,34.8,16.38,202.84
switchgrass,2021,34.41,15.57,204.75
switchgrass,2021,28.62,18.16,262.85
switchgrass,2021,29.87,16.1,248.22
switchgrass,2021,34.24,16.35,224.88
switchgrass,2021,33,15.25,225.56
switchgrass,2021,29.13,16.84,274.64
switchgrass,2021,31.07,14.49,262.06
switchgrass,2021,33.13,15.01,234.18
switchgrass,2021,31.54,15.14,246.98
switchgrass,2021,32.55,13.88,232.85
switchgrass,2021,32.64,14.16,239.49
switchgrass,2021,33.98,15.28,227
switchgrass,2021,35.38,12.59,214.36
switchgrass,2021,28.15,19.55,330.84
switchgrass,2021,26.77,19.09,326.77
switchgrass,2021,33.29,17.05,214.22
switchgrass,2021,32.03,17.06,248.14
switchgrass,2021,32.2,16.9,236.7
switchgrass,2021,33.65,16.04,219.96
switchgrass,2021,34.56,15.99,213.5
switchgrass,2021,33.35,15.7,239.97
switchgrass,2021,34.33,15.87,203.93
switchgrass,2021,33.17,15.75,197.21
switchgrass,2021,40.03,14.33,167.99
switchgrass,2021,35.24,16.05,191.1
switchgrass,2021,35.11,15.17,199.87
switchgrass,2021,35.26,16.13,201.89
switchgrass,2021,37.32,14.17,193.29
