species_name,family,genus,growth_form_canonical,rho_mean,rho_sd,rho_n,rho_match_level,rho_source
Cephaelis subconnata,,Cephaelis,unknown,,,,none,
Cephaelis tomentosa,,Cephaelis,unknown,,,,none,
Cephaelis utakwae,,Cephaelis,unknown,,,,none,
Cephalacanthus maculatus,,Cephalacanthus,unknown,,,,none,
Cephalanthera alpicola,,Cephalanthera,unknown,,,,none,
Cephalanthera austiniae,,Cephalanthera,herb,,,,none,
Cephalanthera caucasica,,Cephalanthera,unknown,,,,none,
Cephalanthera cucullata,,Cephalanthera,unknown,,,,none,
Cephalanthera damasonium,,Cephalanthera,herb,,,,none,
Cephalanthera epipactoides,,Cephalanthera,unknown,,,,none,
Cephalanthera erecta,,Cephalanthera,unknown,,,,none,
Cephalanthera falcata,,Cephalanthera,unknown,,,,none,
Cephalanthera kotschyana,,Cephalanthera,herb,,,,none,
Cephalanthera kurdica,,Cephalanthera,unknown,,,,none,
Cephalanthera longibracteata,,Cephalanthera,unknown,,,,none,
Cephalanthera longifolia,,Cephalanthera,herb,,,,none,
Cephalanthera rubra,,Cephalanthera,unknown,,,,none,
Cephalanthera x schulzei,,Cephalanthera,unknown,,,,none,
Cephalantheropsis calanthoides,,Cephalantheropsis,unknown,,,,none,
Cephalantheropsis longipes,,Cephalantheropsis,unknown,,,,none,
Cephalantheropsis obcordata,,Cephalantheropsis,unknown,,,,none,
Cephalantheropsis venusta,,Cephalantheropsis,unknown,,,,none,
Cephalantholejeunea temnanthoides,,Cephalantholejeunea,unknown,,,,none,
Cephalanthus amazonicus,,Cephalanthus,unknown,,,,none,
Cephalanthus angustifolius,,Cephalanthus,unknown,,,,none,
Cephalanthus glabratus,,Cephalanthus,tree,0.58,0.18,0,global_fallback,GWDD_Zanne2009_global_fallback_UNVERIFIED
Cephalanthus natalensis,,Cephalanthus,unknown,,,,none,
Cephalanthus occidentalis,,Cephalanthus,tree,0.58,0.18,0,global_fallback,GWDD_Zanne2009_global_fallback_UNVERIFIED
Cephalanthus salicifolius,,Cephalanthus,shrub,0.58,0.18,0,global_fallback,GWDD_Zanne2009_global_fallback_UNVERIFIED
Cephalanthus tetrandra,,Cephalanthus,unknown,,,,none,
Cephalaralia cephalobotrys,,Cephalaralia,unknown,,,,none,
Cephalaria alpina,,Cephalaria,unknown,,,,none,
Cephalaria amana,,Cephalaria,unknown,,,,none,
Cephalaria ambrosioides,,Cephalaria,unknown,,,,none,
Cephalaria aristata,,Cephalaria,unknown,,,,none,
Cephalaria armeniaca,,Cephalaria,unknown,,,,none,
Cephalaria armerioides,,Cephalaria,unknown,,,,none,
Cephalaria attenuata,,Cephalaria,unknown,,,,none,
Cephalaria calcarea,,Cephalaria,unknown,,,,none,
Cephalaria cedrorum,,Cephalaria,unknown,,,,none,
Cephalaria coriacea,,Cephalaria,unknown,,,,none,
Cephalaria dagestanica,,Cephalaria,unknown,,,,none,
Cephalaria decurrens,,Cephalaria,unknown,,,,none,
Cephalaria dichaetophora,,Cephalaria,unknown,,,,none,
Cephalaria dipsacoides,,Cephalaria,unknown,,,,none,
Cephalaria fanourii,,Cephalaria,unknown,,,,none,
Cephalaria flava,,Cephalaria,unknown,,,,none,
Cephalaria foliosa,,Cephalaria,unknown,,,,none,
Cephalaria galpiniana,,Cephalaria,unknown,,,,none,
Cephalaria gigantea,,Cephalaria,herb,,,,none,
Cephalaria hirsuta,,Cephalaria,unknown,,,,none,
Cephalaria humilis,,Cephalaria,unknown,,,,none,
Cephalaria integrifolia,,Cephalaria,unknown,,,,none,
Cephalaria joppensis,,Cephalaria,unknown,,,,none,
Cephalaria juncea,,Cephalaria,unknown,,,,none,
Cephalaria katangensis,,Cephalaria,unknown,,,,none,
Cephalaria kesruanica,,Cephalaria,unknown,,,,none,
Cephalaria leucantha,,Cephalaria,herb,,,,none,
Cephalaria litvinovii,,Cephalaria,unknown,,,,none,
Cephalaria lycica,,Cephalaria,unknown,,,,none,
Cephalaria mauritanica,,Cephalaria,unknown,,,,none,
Cephalaria media,,Cephalaria,unknown,,,,none,
Cephalaria microcephala,,Cephalaria,unknown,,,,none,
Cephalaria nachiczevanica,,Cephalaria,unknown,,,,none,
Cephalaria natalensis,,Cephalaria,unknown,,,,none,
Cephalaria oblongifolia,,Cephalaria,herb,,,,none,
Cephalaria petiolata,,Cephalaria,unknown,,,,none,
Cephalaria procera,,Cephalaria,unknown,,,,none,
Cephalaria pungens,,Cephalaria,herb,,,,none,
Cephalaria radiata,,Cephalaria,unknown,,,,none,
Cephalaria retrosetosa,,Cephalaria,unknown,,,,none,
Cephalaria rigida,,Cephalaria,unknown,,,,none,
Cephalaria setosa,,Cephalaria,unknown,,,,none,
Cephalaria sillingeri,,Cephalaria,unknown,,,,none,
Cephalaria sparsipilosa,,Cephalaria,unknown,,,,none,
Cephalaria squamiflora,,Cephalaria,shrub,0.58,0.18,0,global_fallback,GWDD_Zanne2009_global_fallback_UNVERIFIED
Cephalaria stapfii,,Cephalaria,unknown,,,,none,
Cephalaria stellipilis,,Cephalaria,unknown,,,,none,
Cephalaria stenophylla,,Cephalaria,unknown,,,,none,
Cephalaria sublanata,,Cephalaria,unknown,,,,none,
Cephalaria syriaca,,Cephalaria,herb,,,,none,
Cephalaria tchihatchewii,,Cephalaria,unknown,,,,none,
Cephalaria tenella,,Cephalaria,unknown,,,,none,
Cephalaria transsylvanica,,Cephalaria,unknown,,,,none,
Cephalaria transylvanica,,Cephalaria,unknown,,,,none,
Cephalaria uralensis,,Cephalaria,unknown,,,,none,
Cephalaria velutina,,Cephalaria,unknown,,,,none,
Cephalaria zeyheriana,,Cephalaria,herb,,,,none,
Cephalipterum drummondii,,Cephalipterum,unknown,,,,none,
Cephalocarpus confertus,,Cephalocarpus,unknown,,,,none,
Cephalocarpus dracaenula,,Cephalocarpus,unknown,,,,none,
Cephalocarpus obovoideus,,Cephalocarpus,unknown,,,,none,
Cephalocarpus rigidus,,Cephalocarpus,herb,,,,none,
Cephaloceraton histrix,,Cephaloceraton,unknown,,,,none,
Cephalocereus apicicephalium,,Cephalocereus,unknown,,,,none,
Cephalocereus columna-trajani,,Cephalocereus,unknown,,,,none,
Cephalocereus euphorbioides,,Cephalocereus,unknown,,,,none,
Cephalocereus fulviceps,,Cephalocereus,unknown,,,,none,
Cephalocereus macrocephalus,,Cephalocereus,unknown,,,,none,
Cephalocereus mezcalaensis,,Cephalocereus,unknown,,,,none,
Cephalocereus nizandensis,,Cephalocereus,unknown,,,,none,
Cephalocereus nudus,,Cephalocereus,unknown,,,,none,
Cephalocereus polylophus,,Cephalocereus,unknown,,,,none,
Cephalocereus scoparius,,Cephalocereus,unknown,,,,none,
Cephalocereus senilis,,Cephalocereus,unknown,,,,none,
Cephalocereus tetetzo,,Cephalocereus,unknown,,,,none,
Cephalocereus totolapensis,,Cephalocereus,unknown,,,,none,
Cephalocroton cordofanus,,Cephalocroton,unknown,,,,none,
Cephalocroton leucocephalus,,Cephalocroton,unknown,,,,none,
Cephalocroton mollis,,Cephalocroton,unknown,,,,none,
Cephalocroton polygynus,,Cephalocroton,unknown,,,,none,
Cephalocroton socotranus,,Cephalocroton,unknown,,,,none,
Cephalocroton zeylanicus,,Cephalocroton,unknown,,,,none,
Cephalocrotonopsis socotranus,,Cephalocrotonopsis,unknown,,,,none,
Cephalojonesia incuba,,Cephalojonesia,unknown,,,,none,
Cephalolobus sphenoloboides,,Cephalolobus,unknown,,,,none,
Cephalomanes acrosorum,,Cephalomanes,unknown,,,,none,
Cephalomanes apiifolium,,Cephalomanes,unknown,,,,none,
Cephalomanes bauerianum,,Cephalomanes,unknown,,,,none,
Cephalomanes boryanum,,Cephalomanes,unknown,,,,none,
Cephalomanes caudatum,,Cephalomanes,unknown,,,,none,
Cephalomanes clathratum,,Cephalomanes,unknown,,,,none,
Cephalomanes cumingii,,Cephalomanes,unknown,,,,none,
Cephalomanes grande,,Cephalomanes,unknown,,,,none,
Cephalomanes javanicum,,Cephalomanes,herb,,,,none,
Cephalomanes laciniatum,,Cephalomanes,unknown,,,,none,
Cephalomanes meifolium,,Cephalomanes,unknown,,,,none,
Cephalomanes oblongifolium,,Cephalomanes,unknown,,,,none,
Cephalomanes obscurum,,Cephalomanes,unknown,,,,none,
Cephalomanes rigidum,,Cephalomanes,unknown,,,,none,
Cephalomanes thysanostomum,,Cephalomanes,unknown,,,,none,
Cephalomappa beccariana,,Cephalomappa,unknown,,,,none,
Cephalomappa lepidotula,,Cephalomappa,unknown,,,,none,
Cephalomappa sinensis,,Cephalomappa,unknown,,,,none,
Cephalomitrion aterrimum,,Cephalomitrion,unknown,,,,none,
Cephalopappus sonchifolius,,Cephalopappus,unknown,,,,none,
Cephalophis lukei,,Cephalophis,unknown,,,,none,
Cephalophyllum alstonii,,Cephalophyllum,unknown,,,,none,
Cephalophyllum caespitosum,,Cephalophyllum,unknown,,,,none,
Cephalophyllum compressum,,Cephalophyllum,unknown,,,,none,
Cephalophyllum conicum,,Cephalophyllum,unknown,,,,none,
Cephalophyllum corniculatum,,Cephalophyllum,unknown,,,,none,
Cephalophyllum curtophyllum,,Cephalophyllum,shrub,0.58,0.18,0,global_fallback,GWDD_Zanne2009_global_fallback_UNVERIFIED
Cephalophyllum diversiphyllum,,Cephalophyllum,herb,,,,none,
Cephalophyllum ebracteatum,,Cephalophyllum,unknown,,,,none,
Cephalophyllum framesii,,Cephalophyllum,unknown,,,,none,
Cephalophyllum fulleri,,Cephalophyllum,unknown,,,,none,
Cephalophyllum goodii,,Cephalophyllum,unknown,,,,none,
Cephalophyllum griseum,,Cephalophyllum,unknown,,,,none,
Cephalophyllum hallii,,Cephalophyllum,unknown,,,,none,
Cephalophyllum herrei,,Cephalophyllum,unknown,,,,none,
Cephalophyllum inaequale,,Cephalophyllum,unknown,,,,none,
Cephalophyllum loreum,,Cephalophyllum,unknown,,,,none,
Cephalophyllum niveum,,Cephalophyllum,unknown,,,,none,
Cephalophyllum numeesense,,Cephalophyllum,unknown,,,,none,
Cephalophyllum parvibracteatum,,Cephalophyllum,shrub,0.58,0.18,0,global_fallback,GWDD_Zanne2009_global_fallback_UNVERIFIED
Cephalophyllum parviflorum,,Cephalophyllum,unknown,,,,none,
Cephalophyllum parvulum,,Cephalophyllum,unknown,,,,none,
Cephalophyllum pillansii,,Cephalophyllum,unknown,,,,none,
Cephalophyllum pulchellum,,Cephalophyllum,unknown,,,,none,
Cephalophyllum pulchrum,,Cephalophyllum,unknown,,,,none,
Cephalophyllum purpureo-album,,Cephalophyllum,unknown,,,,none,
Cephalophyllum regale,,Cephalophyllum,unknown,,,,none,
Cephalophyllum rigidum,,Cephalophyllum,unknown,,,,none,
Cephalophyllum rostellum,,Cephalophyllum,unknown,,,,none,
Cephalophyllum spissum,,Cephalophyllum,unknown,,,,none,
Cephalophyllum staminodiosum,,Cephalophyllum,unknown,,,,none,
Cephalophyllum subulatoides,,Cephalophyllum,unknown,,,,none,
Cephalophyllum tricolorum,,Cephalophyllum,unknown,,,,none,
Cephalopodum badachshanicum,,Cephalopodum,unknown,,,,none,
Cephalorhizum coelicolor,,Cephalorhizum,unknown,,,,none,
Cephalorhizum pachycormum,,Cephalorhizum,unknown,,,,none,
Cephalorhizum popovii,,Cephalorhizum,unknown,,,,none,
Cephalorrhynchus albiflorus,,Cephalorrhynchus,unknown,,,,none,
Cephalorrhynchus chitralensis,,Cephalorrhynchus,unknown,,,,none,
Cephalorrhynchus kossinskyi,,Cephalorrhynchus,unknown,,,,none,
Cephalosorus carpesioides,,Cephalosorus,unknown,,,,none,
Cephalosphaera usambarensis,,Cephalosphaera,tree,0.4295,0.0714177848998413,2,species,GWDD_Zanne2009
Cephalostachyum capitatum,,Cephalostachyum,graminoid,,,,none,
Cephalostachyum chapelieri,,Cephalostachyum,herb,,,,none,
Cephalostachyum chinense,,Cephalostachyum,unknown,,,,none,
Cephalostachyum latifolium,,Cephalostachyum,graminoid,,,,none,
Cephalostachyum pallidum,,Cephalostachyum,herb,,,,none,
Cephalostachyum pergracile,,Cephalostachyum,herb,,,,none,
Cephalostachyum perrieri,,Cephalostachyum,vine,0.58,0.18,0,global_fallback,GWDD_Zanne2009_global_fallback_UNVERIFIED
Cephalostachyum viguieri,,Cephalostachyum,tree,0.58,0.18,0,global_fallback,GWDD_Zanne2009_global_fallback_UNVERIFIED
Cephalostachyum virgatum,,Cephalostachyum,unknown,,,,none,
Cephalostemon affinis,,Cephalostemon,unknown,,,,none,
Cephalostemon angustatus,,Cephalostemon,unknown,,,,none,
Cephalostemon gracilis,,Cephalostemon,unknown,,,,none,
Cephalostemon microglochin,,Cephalostemon,graminoid,,,,none,
Cephalostemon riedelianus,,Cephalostemon,unknown,,,,none,
Cephalotaxus fortunei,,Cephalotaxus,unknown,,,,none,
Cephalotaxus hainanensis,,Cephalotaxus,unknown,,,,none,
Cephalotaxus harringtonia,,Cephalotaxus,unknown,,,,none,
Cephalotaxus harringtonii,,Cephalotaxus,unknown,,,,none,
Cephalotaxus lanceolata,,Cephalotaxus,unknown,,,,none,
Cephalotaxus latifolia,,Cephalotaxus,unknown,,,,none,
Cephalotaxus mannii,,Cephalotaxus,unknown,,,,none,
Cephalotaxus oliveri,,Cephalotaxus,unknown,,,,none,
Cephalotaxus sinensis,,Cephalotaxus,unknown,,,,none,
Cephalotomandra fragrans,,Cephalotomandra,unknown,,,,none,
Cephalotus follicularis,,Cephalotus,unknown,,,,none,
Cephalozia aeraria,,Cephalozia,unknown,,,,none,
Cephalozia affinis,,Cephalozia,unknown,,,,none,
Cephalozia albula,,Cephalozia,unknown,,,,none,
Cephalozia ambigua,,Cephalozia,unknown,,,,none,
Cephalozia armata,,Cephalozia,unknown,,,,none,
Cephalozia asprella,,Cephalozia,unknown,,,,none,
Cephalozia austinii,,Cephalozia,unknown,,,,none,
Cephalozia austrigena,,Cephalozia,unknown,,,,none,
Cephalozia badia,,Cephalozia,unknown,,,,none,
Cephalozia bicuspidata,,Cephalozia,unknown,,,,none,
Cephalozia caribbeania,,Cephalozia,unknown,,,,none,
Cephalozia catenulata,,Cephalozia,unknown,,,,none,
Cephalozia compacta,,Cephalozia,unknown,,,,none,
Cephalozia conchata,,Cephalozia,unknown,,,,none,
Cephalozia connivens,,Cephalozia,unknown,,,,none,
Cephalozia crassicaulis,,Cephalozia,unknown,,,,none,
Cephalozia crassifolia,,Cephalozia,unknown,,,,none,
Cephalozia crossii,,Cephalozia,unknown,,,,none,
Cephalozia cucullifolia,,Cephalozia,unknown,,,,none,
Cephalozia drucei,,Cephalozia,unknown,,,,none,
Cephalozia dubia,,Cephalozia,unknown,,,,none,
Cephalozia dusenii,,Cephalozia,unknown,,,,none,
Cephalozia dussii,,Cephalozia,unknown,,,,none,
Cephalozia extensa,,Cephalozia,unknown,,,,none,
Cephalozia fissa,,Cephalozia,unknown,,,,none,
Cephalozia fluitans,,Cephalozia,unknown,,,,none,
Cephalozia gollanii,,Cephalozia,unknown,,,,none,
Cephalozia grandifolia,,Cephalozia,unknown,,,,none,
Cephalozia grandiretis,,Cephalozia,unknown,,,,none,
Cephalozia hamatiloba,,Cephalozia,unknown,,,,none,
Cephalozia hians,,Cephalozia,unknown,,,,none,
Cephalozia hibernica,,Cephalozia,unknown,,,,none,
Cephalozia integrifolia,,Cephalozia,unknown,,,,none,
Cephalozia lacinulata,,Cephalozia,unknown,,,,none,
Cephalozia lammersiana,,Cephalozia,unknown,,,,none,
Cephalozia latiflora,,Cephalozia,unknown,,,,none,
Cephalozia leucantha,,Cephalozia,unknown,,,,none,
Cephalozia levieri,,Cephalozia,unknown,,,,none,
Cephalozia loitlesbergeri,,Cephalozia,unknown,,,,none,
Cephalozia lunulifolia,,Cephalozia,unknown,,,,none,
Cephalozia macounii,,Cephalozia,unknown,,,,none,
Cephalozia macrostachya,,Cephalozia,unknown,,,,none,
Cephalozia massalongii,,Cephalozia,unknown,,,,none,
Cephalozia multiflora,,Cephalozia,unknown,,,,none,
Cephalozia neesiana,,Cephalozia,unknown,,,,none,
Cephalozia ochiajana,,Cephalozia,unknown,,,,none,
Cephalozia otaruensis,,Cephalozia,unknown,,,,none,
Cephalozia pachycaulis,,Cephalozia,unknown,,,,none,
Cephalozia pachygyna,,Cephalozia,unknown,,,,none,
Cephalozia pandei,,Cephalozia,unknown,,,,none,
Cephalozia parvitexta,,Cephalozia,unknown,,,,none,
Cephalozia patagonica,,Cephalozia,unknown,,,,none,
Cephalozia patentiloba,,Cephalozia,unknown,,,,none,
Cephalozia pleniceps,,Cephalozia,unknown,,,,none,
Cephalozia pulvinata,,Cephalozia,unknown,,,,none,
Cephalozia reclusa,,Cephalozia,unknown,,,,none,
Cephalozia robusta,,Cephalozia,unknown,,,,none,
Cephalozia sandvicensis,,Cephalozia,unknown,,,,none,
Cephalozia serra,,Cephalozia,unknown,,,,none,
Cephalozia serrifolia,,Cephalozia,unknown,,,,none,
Cephalozia tokonabena,,Cephalozia,unknown,,,,none,
Cephalozia trivialis,,Cephalozia,unknown,,,,none,
Cephalozia tumidula,,Cephalozia,unknown,,,,none,
Cephalozia uniloba,,Cephalozia,unknown,,,,none,
Cephalozia vaginans,,Cephalozia,unknown,,,,none,
Cephalozia venezuelana,,Cephalozia,unknown,,,,none,
Cephalozia vittata,,Cephalozia,unknown,,,,none,
Cephalozia vulcanicola,,Cephalozia,unknown,,,,none,
Cephalozia zoopsioides,,Cephalozia,unknown,,,,none,
Cephaloziella aenigmatica,,Cephaloziella,unknown,,,,none,
Cephaloziella arctica,,Cephaloziella,unknown,,,,none,
Cephaloziella arctogena,,Cephaloziella,unknown,,,,none,
Cephaloziella arenaria,,Cephaloziella,unknown,,,,none,
Cephaloziella aspericaulis,,Cephaloziella,unknown,,,,none,
Cephaloziella baumgartneri,,Cephaloziella,unknown,,,,none,
Cephaloziella brinkmanii,,Cephaloziella,unknown,,,,none,
Cephaloziella byssacea,,Cephaloziella,unknown,,,,none,
Cephaloziella calyculata,,Cephaloziella,unknown,,,,none,
Cephaloziella capensis,,Cephaloziella,unknown,,,,none,
Cephaloziella capillaris,,Cephaloziella,unknown,,,,none,
Cephaloziella crassigyna,,Cephaloziella,unknown,,,,none,
Cephaloziella crispata,,Cephaloziella,unknown,,,,none,
Cephaloziella densifolia,,Cephaloziella,unknown,,,,none,
Cephaloziella dentata,,Cephaloziella,unknown,,,,none,
Cephaloziella divaricata,,Cephaloziella,unknown,,,,none,
Cephaloziella elachista,,Cephaloziella,unknown,,,,none,
Cephaloziella elegans,,Cephaloziella,unknown,,,,none,
Cephaloziella exiliflora,,Cephaloziella,unknown,,,,none,
Cephaloziella fragillima,,Cephaloziella,unknown,,,,none,
Cephaloziella gemmata,,Cephaloziella,unknown,,,,none,
Cephaloziella godajensis,,Cephaloziella,unknown,,,,none,
Cephaloziella gracillima,,Cephaloziella,unknown,,,,none,
Cephaloziella granatensis,,Cephaloziella,unknown,,,,none,
Cephaloziella grandiretis,,Cephaloziella,unknown,,,,none,
Cephaloziella grimsulana,,Cephaloziella,unknown,,,,none,
Cephaloziella hampeana,,Cephaloziella,unknown,,,,none,
Cephaloziella heteroica,,Cephaloziella,unknown,,,,none,
Cephaloziella hirta,,Cephaloziella,unknown,,,,none,
Cephaloziella hyalina,,Cephaloziella,unknown,,,,none,
Cephaloziella integerrima,,Cephaloziella,unknown,,,,none,
Cephaloziella invisa,,Cephaloziella,unknown,,,,none,
Cephaloziella kiaeri,,Cephaloziella,unknown,,,,none,
Cephaloziella kilohanensis,,Cephaloziella,unknown,,,,none,
Cephaloziella konstantinovae,,Cephaloziella,unknown,,,,none,
Cephaloziella levieri,,Cephaloziella,unknown,,,,none,
Cephaloziella limprichtii,,Cephaloziella,unknown,,,,none,
Cephaloziella lycopodioides,,Cephaloziella,unknown,,,,none,
Cephaloziella magna,,Cephaloziella,unknown,,,,none,
Cephaloziella mammillifera,,Cephaloziella,unknown,,,,none,
Cephaloziella massalongi,,Cephaloziella,unknown,,,,none,
Cephaloziella massalongoi,,Cephaloziella,unknown,,,,none,
Cephaloziella microphylla,,Cephaloziella,unknown,,,,none,
Cephaloziella muelleriana,,Cephaloziella,unknown,,,,none,
Cephaloziella natalensis,,Cephaloziella,unknown,,,,none,
Cephaloziella nicholsonii,,Cephaloziella,unknown,,,,none,
Cephaloziella nothogena,,Cephaloziella,unknown,,,,none,
Cephaloziella obliqua,,Cephaloziella,unknown,,,,none,
Cephaloziella papillosa,,Cephaloziella,unknown,,,,none,
Cephaloziella patulifolia,,Cephaloziella,unknown,,,,none,
Cephaloziella phyllacantha,,Cephaloziella,unknown,,,,none,
Cephaloziella pulcherrima,,Cephaloziella,unknown,,,,none,
Cephaloziella pungens,,Cephaloziella,unknown,,,,none,
Cephaloziella rappii,,Cephaloziella,unknown,,,,none,
Cephaloziella recurvifolia,,Cephaloziella,unknown,,,,none,
Cephaloziella rhizantha,,Cephaloziella,unknown,,,,none,
Cephaloziella rubella,,Cephaloziella,unknown,,,,none,
Cephaloziella serrata,,Cephaloziella,unknown,,,,none,
Cephaloziella setiloba,,Cephaloziella,unknown,,,,none,
Cephaloziella spegazziniana,,Cephaloziella,unknown,,,,none,
Cephaloziella spinicaulis,,Cephaloziella,unknown,,,,none,
Cephaloziella spinigera,,Cephaloziella,unknown,,,,none,
Cephaloziella starkei,,Cephaloziella,unknown,,,,none,
Cephaloziella stellulifera,,Cephaloziella,unknown,,,,none,
Cephaloziella stolonifera,,Cephaloziella,unknown,,,,none,
Cephaloziella subdentata,,Cephaloziella,unknown,,,,none,
Cephaloziella subspinosa,,Cephaloziella,unknown,,,,none,
Cephaloziella subtilis,,Cephaloziella,unknown,,,,none,
Cephaloziella tenuissima,,Cephaloziella,unknown,,,,none,
Cephaloziella transvaalensis,,Cephaloziella,unknown,,,,none,
Cephaloziella turneri,,Cephaloziella,unknown,,,,none,
Cephaloziella uncinata,,Cephaloziella,unknown,,,,none,
Cephaloziella vaginans,,Cephaloziella,unknown,,,,none,
Cephaloziella varians,,Cephaloziella,unknown,,,,none,
Cephaloziella verrucosa,,Cephaloziella,unknown,,,,none,
Cephaloziella villaumei,,Cephaloziella,unknown,,,,none,
Cephaloziella welwitschii,,Cephaloziella,unknown,,,,none,
Cephaloziella willisana,,Cephaloziella,unknown,,,,none,
Cephaloziopsis intertexta,,Cephaloziopsis,unknown,,,,none,
Cephaloziopsis schistophila,,Cephaloziopsis,unknown,,,,none,
Cepobaculum canaliculatum,,Cepobaculum,unknown,,,,none,
Cepobaculum carronii,,Cepobaculum,unknown,,,,none,
Cepobaculum foelschei,,Cepobaculum,unknown,,,,none,
Cepobaculum johannis,,Cepobaculum,unknown,,,,none,
Cepobaculum semifuscum,,Cepobaculum,unknown,,,,none,
Cepobaculum trilamellatum,,Cepobaculum,unknown,,,,none,
Ceradenia albidula,,Ceradenia,unknown,,,,none,
Ceradenia argyrata,,Ceradenia,unknown,,,,none,
Ceradenia arthrothrix,,Ceradenia,unknown,,,,none,
Ceradenia aulaeifolia,,Ceradenia,unknown,,,,none,
Ceradenia ayopayana,,Ceradenia,unknown,,,,none,
Ceradenia bishopii,,Ceradenia,herb,,,,none,
Ceradenia brunneoviridis,,Ceradenia,unknown,,,,none,
Ceradenia capillaris,,Ceradenia,unknown,,,,none,
Ceradenia clavipila,,Ceradenia,unknown,,,,none,
Ceradenia comorensis,,Ceradenia,unknown,,,,none,
Ceradenia comosa,,Ceradenia,herb,,,,none,
Ceradenia curvata,,Ceradenia,unknown,,,,none,
Ceradenia deltodon,,Ceradenia,unknown,,,,none,
Ceradenia dendrodoxa,,Ceradenia,unknown,,,,none,
Ceradenia discolor,,Ceradenia,unknown,,,,none,
Ceradenia farinosa,,Ceradenia,herb,,,,none,
Ceradenia fendleri,,Ceradenia,unknown,,,,none,
Ceradenia fragillima,,Ceradenia,unknown,,,,none,
Ceradenia fucoides,,Ceradenia,unknown,,,,none,
Ceradenia glabra,,Ceradenia,unknown,,,,none,
Ceradenia glaziovii,,Ceradenia,unknown,,,,none,
Ceradenia intonsa,,Ceradenia,unknown,,,,none,
Ceradenia intricata,,Ceradenia,unknown,,,,none,
Ceradenia jimenezii,,Ceradenia,unknown,,,,none,
Ceradenia jungermannioides,,Ceradenia,unknown,,,,none,
Ceradenia kalawayae,,Ceradenia,unknown,,,,none,
Ceradenia kalbreyeri,,Ceradenia,unknown,,,,none,
Ceradenia knightii,,Ceradenia,unknown,,,,none,
Ceradenia kookenamae,,Ceradenia,unknown,,,,none,
Ceradenia longipinnata,,Ceradenia,unknown,,,,none,
Ceradenia maackii,,Ceradenia,unknown,,,,none,
Ceradenia madidiensis,,Ceradenia,unknown,,,,none,
Ceradenia margaritata,,Ceradenia,unknown,,,,none,
Ceradenia marialta,,Ceradenia,unknown,,,,none,
Ceradenia mayoris,,Ceradenia,unknown,,,,none,
Ceradenia melanopus,,Ceradenia,unknown,,,,none,
Ceradenia meridensis,,Ceradenia,unknown,,,,none,
Ceradenia microcystis,,Ceradenia,unknown,,,,none,
Ceradenia mirabilis,,Ceradenia,unknown,,,,none,
Ceradenia nubigena,,Ceradenia,herb,,,,none,
Ceradenia oidiophora,,Ceradenia,unknown,,,,none,
Ceradenia pearcei,,Ceradenia,unknown,,,,none,
Ceradenia phalacron,,Ceradenia,unknown,,,,none,
Ceradenia phloiocharis,,Ceradenia,unknown,,,,none,
Ceradenia pilipalaea,,Ceradenia,unknown,,,,none,
Ceradenia pilipecten,,Ceradenia,unknown,,,,none,
Ceradenia pilipes,,Ceradenia,unknown,,,,none,
Ceradenia podocarpa,,Ceradenia,unknown,,,,none,
Ceradenia pruinosa,,Ceradenia,unknown,,,,none,
Ceradenia sacksii,,Ceradenia,unknown,,,,none,
Ceradenia semiadnata,,Ceradenia,unknown,,,,none,
Ceradenia setosa,,Ceradenia,unknown,,,,none,
Ceradenia similis,,Ceradenia,unknown,,,,none,
Ceradenia spixiana,,Ceradenia,unknown,,,,none,
Ceradenia terrestris,,Ceradenia,unknown,,,,none,
Ceradenia tristis,,Ceradenia,unknown,,,,none,
Ceradenia tunquiniensis,,Ceradenia,unknown,,,,none,
Ceradenia warmingii,,Ceradenia,unknown,,,,none,
Ceraia goldfinchii,,Ceraia,unknown,,,,none,
Ceraia litoralis,,Ceraia,unknown,,,,none,
Ceraia macfarlanei,,Ceraia,unknown,,,,none,
Ceraia pseudocalceola,,Ceraia,unknown,,,,none,
Ceraia robinsonii,,Ceraia,unknown,,,,none,
Ceraia saaronica,,Ceraia,unknown,,,,none,
Ceraia strigosa,,Ceraia,unknown,,,,none,
Ceramanus centipes,,Ceramanus,unknown,,,,none,
Ceramanus clatritexta,,Ceramanus,unknown,,,,none,
Ceramanus elegans,,Ceramanus,unknown,,,,none,
Ceramanus grossiseta,,Ceramanus,unknown,,,,none,
Ceramanus perfragilis,,Ceramanus,unknown,,,,none,
Ceramanus tuberifera,,Ceramanus,unknown,,,,none,
Ceraria carrissoana,,Ceraria,unknown,,,,none,
Ceraria fruticulosa,,Ceraria,unknown,,,,none,
Ceraria kaokoensis,,Ceraria,unknown,,,,none,
Ceraria kuneneana,,Ceraria,unknown,,,,none,
Cerastium afromontanum,,Cerastium,herb,,,,none,
Cerastium aleuticum,,Cerastium,herb,,,,none,
Cerastium alpinum,,Cerastium,herb,,,,none,
Cerastium alsinifolium,,Cerastium,unknown,,,,none,
Cerastium andinum,,Cerastium,unknown,,,,none,
Cerastium anomalum,,Cerastium,unknown,,,,none,
Cerastium apuanum,,Cerastium,unknown,,,,none,
Cerastium arabidis,,Cerastium,unknown,,,,none,
Cerastium arcticum,,Cerastium,herb,,,,none,
Cerastium argenteum,,Cerastium,unknown,,,,none,
Cerastium argentinum,,Cerastium,unknown,,,,none,
Cerastium armeniacum,,Cerastium,unknown,,,,none,
