Date,Block,Plot,Genotypic diversity,Trait diversity,Trt ID,Melongena abundance,Terebra abundance,Littoraria abundance,Total abundance
12-Oct,3,10,1,Low,M5,0,0,0,0
12-Oct,3,11,6,High,HP8,4,0,0,4
12-Oct,3,12,1,High,M10,0,0,0,0
12-Oct,4,1,6,Low,HP7,0,0,0,0
12-Oct,4,2,1,High,M11,0,0,0,0
12-Oct,4,3,3,Low,LP5,0,0,0,0
12-Oct,4,4,6,Low,HP6,0,0,0,0
12-Oct,4,5,3,High,LP8,0,0,0,0
12-Oct,4,6,1,Low,M3,0,0,0,0
12-Oct,4,7,1,Low,M8,0,0,0,0
12-Oct,4,8,3,Low,LP4,0,1,0,1
12-Oct,4,9,6,High,HP9,0,0,0,0
12-Oct,4,10,3,High,LP10,0,0,0,0
12-Oct,4,11,1,High,M1,0,0,0,0
12-Oct,4,12,6,High,HP2,0,0,0,0
12-Oct,5,1,6,High,HP8,0,0,0,0
12-Oct,5,2,6,High,HP4,0,0,0,0
12-Oct,5,3,1,High,M2,0,0,0,0
12-Oct,5,4,3,High,LP7,0,0,0,0
12-Oct,5,5,1,Low,M5,0,0,0,0
12-Oct,5,6,3,Low,LP3,0,0,0,0
12-Oct,5,7,3,Low,LP1,0,0,0,0
12-Oct,5,8,1,High,M9,0,0,0,0
12-Oct,5,9,6,Low,HP11,0,0,0,0
12-Oct,5,10,3,High,LP11,0,0,0,0
12-Oct,5,11,6,Low,HP3,0,0,0,0
12-Oct,5,12,1,Low,M12,1,0,0,1
12-Oct,6,1,1,High,M6,0,0,0,0
12-Oct,6,2,6,High,HP5,0,0,0,0
12-Oct,6,3,1,Low,M4,0,0,0,0
12-Oct,6,4,6,High,HP10,0,0,0,0
12-Oct,6,5,3,Low,LP9,0,1,0,1
12-Oct,6,6,3,High,LP6,1,0,0,1
12-Oct,6,7,6,Low,HP12,0,0,0,0
12-Oct,6,8,1,Low,M7,0,0,0,0
12-Oct,6,9,3,High,LP12,0,0,0,0
12-Oct,6,10,6,Low,HP1,0,0,0,0
12-Oct,6,11,3,Low,LP2,0,0,0,0
12-Oct,6,12,1,High,M10,0,0,0,0
