Grassland,Vegetation,Treatment,Taxa,Life form,SLA,P,C,N
G5,Tall-grass,2Deer,Carex caryophyllea,Sedge,96.02878788,0.162,42.1,1.65
G6,Tall-grass,2Deer,Crepis aurea,Grass,106.3106077,0.114,42.7,1.65
G6,Tall-grass,3Marmot,Crepis aurea,Grass,125.132542,0.103,42.3,1.66
G1,Tall-grass,4Mouse,Briza media,Sedge,85.52942393,0.114,41.6,1.67
G1,Tall-grass,1Control,Briza media,Sedge,82.81009488,0.102,42,1.69
G5,Tall-grass,2Deer,Carex sempervirens,Grass,65.92844037,0.094,43.4,1.69
G1,Tall-grass,4Mouse,Briza media,Sedge,81.29035552,0.111,42.7,1.7
G5,Tall-grass,3Marmot,Briza media,Sedge,63.82925816,0.117,42,1.72
G5,Tall-grass,1Control,Carex caryophyllea,Sedge,96.90958231,0.103,42.8,1.72
G1,Tall-grass,2Deer,Carex caryophyllea,Sedge,141.7303867,0.074,41.4,1.73
G2,Tall-grass,2Deer,Crepis aurea,Grass,97.60766694,0.129,40.2,1.73
G2,Tall-grass,3Marmot,Crepis aurea,Grass,92.26925546,0.109,40.5,1.74
G5,Tall-grass,1Control,Carex caryophyllea,Sedge,84.79881517,0.142,42.2,1.74
G5,Tall-grass,1Control,Carex sempervirens,Grass,97.38585859,0.134,41.7,1.74
G5,Tall-grass,5Insect,Carex caryophyllea,Sedge,NA,0.122,41.8,1.74
G5,Tall-grass,2Deer,Crepis aurea,Grass,130.0069061,0.116,42.6,1.75
G1,Tall-grass,4Mouse,Carex caryophyllea,Sedge,143.6129371,0.094,41.3,1.76
G2,Tall-grass,1Control,Carex sempervirens,Grass,73.02578125,0.119,40.2,1.76
G5,Tall-grass,4Mouse,Briza media,Sedge,103.7410205,0.173,42.6,1.76
G1,Tall-grass,3Marmot,Briza media,Sedge,72.39538511,0.146,41.3,1.77
G1,Tall-grass,3Marmot,Crepis aurea,Grass,111.7425412,0.125,40.7,1.77
G5,Tall-grass,4Mouse,Crepis aurea,Grass,136.7669023,0.135,42.3,1.77
G2,Tall-grass,1Control,Briza media,Sedge,78.92204082,0.131,42,1.79
G5,Tall-grass,1Control,Carex sempervirens,Grass,79.88125,0.099,42.4,1.8
G2,Tall-grass,4Mouse,Briza media,Sedge,83.99964933,0.168,40.9,1.81
G1,Tall-grass,5Insect,Carex sempervirens,Grass,71.09291045,0.082,40.7,1.82
G2,Tall-grass,1Control,Crepis aurea,Grass,94.25078003,0.101,40.7,1.82
G4,Tall-grass,3Marmot,Briza media,Sedge,66.31442392,0.159,41.6,1.84
G5,Tall-grass,1Control,Crepis aurea,Grass,125.5987342,0.122,41.8,1.84
G1,Tall-grass,2Deer,Briza media,Sedge,97.12870201,0.131,41.5,1.85
G1,Tall-grass,2Deer,Crepis aurea,Grass,124.7714549,0.082,40.9,1.85
G2,Tall-grass,4Mouse,Carex sempervirens,Grass,83.2738676,0.109,41.3,1.85
G1,Tall-grass,3Marmot,Carex caryophyllea,Sedge,137.3526946,0.119,41.7,1.86
G2,Tall-grass,2Deer,Festuca rubra,Forb,125.5243697,0.15,40.5,1.86
G6,Tall-grass,1Control,Briza media,Sedge,75.33639019,0.143,42.9,1.88
G1,Tall-grass,1Control,Festuca rubra,Forb,160.8085106,0.105,40.8,1.89
G2,Tall-grass,1Control,Carex caryophyllea,Sedge,84.51952441,0.114,41.9,1.89
G4,Tall-grass,2Deer,Briza media,Sedge,81.32632509,0.14,41.8,1.89
G2,Tall-grass,2Deer,Carex sempervirens,Grass,73.36590909,0.112,40.8,1.9
G1,Tall-grass,5Insect,Briza media,Sedge,85.51184669,0.132,41.6,1.91
G4,Tall-grass,1Control,Briza media,Sedge,69.44828532,0.147,41.2,1.91
G1,Tall-grass,5Insect,Crepis aurea,Grass,116.3843968,0.093,41.1,1.92
G2,Tall-grass,4Mouse,Carex caryophyllea,Sedge,86.83924731,0.138,41.1,1.93
G2,Tall-grass,5Insect,Carex caryophyllea,Sedge,132.8847775,0.159,41.7,1.94
G5,Tall-grass,4Mouse,Crepis aurea,Grass,127.765625,0.123,42.5,1.94
G1,Tall-grass,1Control,Crepis aurea,Grass,175.6299263,0.098,41.8,1.95
G2,Tall-grass,3Marmot,Carex caryophyllea,Sedge,95.38542435,0.125,41.6,1.95
G5,Tall-grass,1Control,Crepis aurea,Grass,105.1663968,0.1,42.3,1.95
G5,Tall-grass,3Marmot,Crepis aurea,Grass,127.1084396,0.122,42.4,1.95
G6,Tall-grass,4Mouse,Carex caryophyllea,Sedge,123.328972,0.11,42.6,1.95
G4,Tall-grass,4Mouse,Briza media,Sedge,93.90174129,0.159,41.5,1.97
G1,Tall-grass,1Control,Crepis aurea,Grass,108.3015528,0.086,42.7,1.98
G2,Tall-grass,2Deer,Briza media,Sedge,93.5258085,0.147,41.3,1.99
G1,Tall-grass,1Control,Festuca rubra,Forb,139.662069,0.119,42.3,2
G1,Tall-grass,2Deer,Briza media,Sedge,90.29245742,0.111,41.8,2
G1,Tall-grass,2Deer,Carex sempervirens,Grass,61.32941176,0.106,41.1,2.01
G4,Tall-grass,2Deer,Carex caryophyllea,Sedge,102.215625,0.135,40.9,2.01
G1,Tall-grass,1Control,Carex sempervirens,Grass,75.78854167,0.086,42.1,2.02
G4,Tall-grass,1Control,Carex caryophyllea,Sedge,99.89370079,0.137,41.7,2.02
G4,Tall-grass,4Mouse,Carex sempervirens,Grass,63.83925234,0.123,41.5,2.02
G5,Tall-grass,3Marmot,Carex sempervirens,Grass,79.17575758,0.105,42.3,2.02
G4,Tall-grass,3Marmot,Crepis aurea,Grass,135.0283149,0.176,40.4,2.04
G1,Tall-grass,1Control,Briza media,Sedge,84.4531746,0.103,43.2,2.05
G2,Tall-grass,4Mouse,Crepis aurea,Grass,99.43223916,0.128,41.1,2.05
G5,Tall-grass,5Insect,Carex sempervirens,Grass,94.67770035,0.112,41.8,2.05
G1,Tall-grass,3Marmot,Carex sempervirens,Grass,69.84380054,0.102,41.4,2.06
G2,Tall-grass,5Insect,Crepis aurea,Grass,101.0014301,0.129,40.8,2.06
G1,Tall-grass,3Marmot,Briza media,Sedge,82.07036011,0.108,42.2,2.07
G1,Tall-grass,2Deer,Crepis aurea,Grass,100.8104542,0.111,43.3,2.09
G2,Tall-grass,3Marmot,Briza media,Sedge,81.87560976,0.158,42,2.09
G2,Tall-grass,5Insect,Briza media,Sedge,82.77766588,0.173,41.9,2.1
G4,Tall-grass,3Marmot,Carex sempervirens,Grass,75.32542662,0.166,40.9,2.1
G6,Tall-grass,2Deer,Carex sempervirens,Grass,71.78358209,0.106,41.8,2.1
G4,Tall-grass,4Mouse,Crepis aurea,Grass,120.1588428,0.13,41.8,2.12
G1,Tall-grass,5Insect,Carex sempervirens,Grass,70.47139283,0.088,41.1,2.13
G1,Tall-grass,4Mouse,Galium pumilum,Forb,188.3530256,0.161,38,2.13
G6,Tall-grass,3Marmot,Briza media,Sedge,83.30864629,0.201,42.1,2.13
G1,Tall-grass,3Marmot,Crepis aurea,Grass,116.0072005,0.098,41.6,2.14
G2,Tall-grass,5Insect,Carex sempervirens,Grass,105.1336516,0.117,40.6,2.14
G5,Tall-grass,2Deer,Briza media,Sedge,97.72726723,0.157,42.8,2.16
G5,Tall-grass,5Insect,Crepis aurea,Grass,147.8581349,0.139,41.6,2.16
G1,Tall-grass,1Control,Carex sempervirens,Grass,62.43884058,0.09,43.2,2.17
G1,Tall-grass,3Marmot,Festuca rubra,Forb,164.676,0.144,38.5,2.17
G4,Tall-grass,2Deer,Crepis aurea,Grass,109.6016949,0.095,40.3,2.18
G6,Tall-grass,1Control,Carex caryophyllea,Sedge,101.7973585,0.152,42.6,2.18
G1,Tall-grass,3Marmot,Festuca rubra,Forb,120.0666667,0.12,40.7,2.19
G6,Tall-grass,1Control,Festuca rubra,Forb,105.6083333,0.107,39.7,2.19
G1,Tall-grass,5Insect,Briza media,Sedge,85.44050298,0.124,42.7,2.21
G2,Tall-grass,2Deer,Galium pumilum,Forb,194.2950237,0.187,40.8,2.21
G5,Tall-grass,3Marmot,Galium pumilum,Forb,191.7301148,0.148,39.4,2.21
G6,Tall-grass,1Control,Carex sempervirens,Grass,61.00526316,0.122,42.3,2.21
G2,Tall-grass,3Marmot,Galium pumilum,Forb,166.5758152,0.188,39,2.23
G5,Tall-grass,2Deer,Festuca rubra,Forb,164.6638889,0.148,39.5,2.23
G1,Tall-grass,4Mouse,Carex sempervirens,Grass,68.70785288,0.085,41.1,2.24
G1,Tall-grass,5Insect,Crepis aurea,Grass,159.3742963,0.097,41.7,2.24
G1,Tall-grass,3Marmot,Galium pumilum,Forb,237.0781874,0.185,39.5,2.24
G2,Tall-grass,5Insect,Festuca rubra,Forb,156.6384211,0.151,39.5,2.24
G4,Tall-grass,2Deer,Carex sempervirens,Grass,68.51863354,0.086,40.2,2.24
G6,Tall-grass,3Marmot,Briza media,Sedge,82.24945919,0.201,42.1,2.24
G2,Tall-grass,4Mouse,Festuca rubra,Forb,107.2630332,0.16,39.1,2.25
G6,Tall-grass,4Mouse,Crepis aurea,Grass,153.8893471,0.179,42,2.25
G1,Tall-grass,4Mouse,Festuca rubra,Forb,118.401487,0.112,42,2.26
G6,Tall-grass,5Insect,Carex sempervirens,Grass,65.44115456,0.127,41.2,2.26
G1,Tall-grass,4Mouse,Festuca rubra,Forb,189.6969231,0.139,38.7,2.27
G1,Tall-grass,5Insect,Festuca rubra,Forb,220.04375,0.146,38.3,2.27
G6,Tall-grass,1Control,Carex sempervirens,Grass,65.576,0.167,41.3,2.28
G3,Tall-grass,5Insect,Carex sempervirens,Grass,87.81224747,0.162,41.2,2.3
G2,Tall-grass,1Control,Festuca rubra,Forb,110.4803571,0.16,38.3,2.31
G6,Tall-grass,1Control,Briza media,Sedge,85.91990881,0.164,42.2,2.31
G5,Tall-grass,2Deer,Galium pumilum,Forb,147.8487076,0.155,39.6,2.32
G1,Tall-grass,5Insect,Festuca rubra,Forb,57.23122677,0.214,42.1,2.33
G3,Tall-grass,1Control,Carex sempervirens,Grass,82.53002114,0.179,42.2,2.34
G5,Tall-grass,1Control,Festuca rubra,Forb,149.0637584,0.161,38.8,2.34
G1,Tall-grass,4Mouse,Crepis aurea,Grass,107.8770255,0.088,41.3,2.35
G2,Tall-grass,3Marmot,Festuca rubra,Forb,117.3691489,0.157,39.5,2.35
G5,Tall-grass,3Marmot,Festuca rubra,Forb,240.9212121,0.158,39.7,2.35
G5,Tall-grass,5Insect,Galium pumilum,Forb,237.6707865,0.183,40.4,2.35
G6,Tall-grass,1Control,Crepis aurea,Grass,115.7874477,0.125,42.2,2.35
G1,Tall-grass,2Deer,Festuca rubra,Forb,128.8322981,0.146,39.6,2.37
G2,Tall-grass,5Insect,Galium pumilum,Forb,179.0185206,0.16,38.5,2.37
G6,Tall-grass,2Deer,Briza media,Sedge,77.50242947,0.178,42.3,2.37
G1,Tall-grass,5Insect,Galium pumilum,Forb,225.8101194,0.202,37.9,2.38
G6,Tall-grass,1Control,Galium pumilum,Forb,132.9770087,0.13,40.2,2.38
G6,Tall-grass,5Insect,Crepis aurea,Grass,138.4453184,0.138,41.5,2.38
G2,Tall-grass,4Mouse,Galium pumilum,Forb,144.5194777,0.189,38.4,2.39
G5,Tall-grass,5Insect,Briza media,Sedge,114.1062106,0.132,42.5,2.4
G5,Tall-grass,5Insect,Festuca rubra,Forb,189.1466165,0.104,40.2,2.43
G6,Tall-grass,4Mouse,Festuca rubra,Forb,125.9335484,0.15,40.3,2.43
G3,Tall-grass,4Mouse,Festuca rubra,Forb,259.183871,0.33,42.2,2.44
G2,Tall-grass,1Control,Galium pumilum,Forb,159.2729911,0.221,39.5,2.45
G3,Tall-grass,2Deer,Festuca rubra,Forb,175.2264151,0.239,40.5,2.45
G4,Tall-grass,1Control,Carex sempervirens,Grass,73.25324324,0.106,40.4,2.45
G4,Tall-grass,5Insect,Briza media,Sedge,87.51267954,0.161,41.3,2.45
G6,Tall-grass,5Insect,Crepis aurea,Grass,157.6898438,0.142,41.8,2.45
G6,Tall-grass,2Deer,Briza media,Sedge,85.54674823,0.156,42.7,2.46
G5,Tall-grass,1Control,Galium pumilum,Forb,182.6213125,0.172,39.1,2.47
G6,Tall-grass,1Control,Crepis aurea,Grass,152.9506726,0.148,41.6,2.47
G6,Tall-grass,4Mouse,Lotus corniculatus,Legume,173.9364486,0.176,41.3,2.47
G5,Tall-grass,4Mouse,Galium pumilum,Forb,173.6336695,0.205,40.2,2.49
G3,Tall-grass,5Insect,Crepis aurea,Grass,168.4349972,0.152,41.3,2.51
G4,Tall-grass,1Control,Crepis aurea,Grass,88.72823129,0.136,40.9,2.52
G1,Tall-grass,2Deer,Galium pumilum,Forb,171.8880263,0.157,39.5,2.53
G3,Tall-grass,2Deer,Briza media,Sedge,91.13303471,0.217,42.2,2.53
G6,Tall-grass,2Deer,Galium pumilum,Forb,156.1332103,0.138,39.9,2.55
G3,Tall-grass,4Mouse,Crepis aurea,Grass,116.4577434,0.162,41.5,2.58
G6,Tall-grass,4Mouse,Galium pumilum,Forb,173.1256798,0.157,40.6,2.58
G5,Tall-grass,4Mouse,Carex sempervirens,Grass,103.7799392,0.135,42.9,2.59
G1,Tall-grass,2Deer,Festuca rubra,Forb,147.0877551,0.137,39,2.6
G6,Tall-grass,2Deer,Festuca rubra,Forb,116.1842466,0.184,39.5,2.61
G6,Tall-grass,4Mouse,Carex sempervirens,Grass,81.71454219,0.134,42.1,2.62
G1,Tall-grass,1Control,Trifolium repens,Legume,156.4702586,0.099,42.5,2.63
G1,Tall-grass,4Mouse,Lotus corniculatus,Legume,117.3015385,0.089,43.3,2.64
G3,Tall-grass,1Control,Briza media,Sedge,89.84314828,0.224,42.4,2.64
G3,Tall-grass,2Deer,Crepis aurea,Grass,95.26915147,0.166,42.2,2.64
G3,Tall-grass,3Marmot,Crepis aurea,Grass,140.4584718,0.175,41.7,2.64
G3,Tall-grass,1Control,Crepis aurea,Grass,95.07561282,0.159,42,2.65
G3,Tall-grass,5Insect,Briza media,Sedge,85.65759905,0.21,41.9,2.65
G6,Tall-grass,3Marmot,Festuca rubra,Forb,95.57846154,0.162,42.7,2.69
G3,Tall-grass,2Deer,Carex sempervirens,Grass,98.33758542,0.175,42.7,2.72
G1,Tall-grass,3Marmot,Trifolium repens,Legume,193.6853211,0.131,44.2,2.73
G1,Tall-grass,2Deer,Galium pumilum,Forb,164.7686842,0.157,39.5,2.74
G3,Tall-grass,4Mouse,Carex sempervirens,Grass,80.26437824,0.173,41.9,2.75
G6,Tall-grass,4Mouse,Carex sempervirens,Grass,69.06441281,0.101,42,2.75
G5,Tall-grass,4Mouse,Festuca rubra,Forb,172.104902,0.136,41.2,2.76
G6,Tall-grass,5Insect,Carex sempervirens,Grass,91.11885125,0.12,41.9,2.76
G5,Tall-grass,1Control,Festuca rubra,Forb,133.6993506,0.125,41.1,2.77
G3,Tall-grass,3Marmot,Carex sempervirens,Grass,81.92332943,0.172,41.5,2.79
G6,Tall-grass,5Insect,Briza media,Sedge,76.91552211,0.183,42.8,2.79
G5,Tall-grass,3Marmot,Festuca rubra,Forb,170.8928571,0.166,41.5,2.84
G6,Tall-grass,5Insect,Galium pumilum,Forb,178.0492806,0.186,39.8,2.84
G3,Tall-grass,1Control,Carex caryophyllea,Sedge,103.4380769,0.222,41.9,2.85
G5,Tall-grass,1Control,Galium pumilum,Forb,139.3744275,0.179,41.3,2.85
G6,Tall-grass,2Deer,Galium pumilum,Forb,161.2050659,0.17,40.2,2.87
G5,Tall-grass,4Mouse,Festuca rubra,Forb,218.1415094,0.209,40.1,2.88
G2,Tall-grass,5Insect,Lotus corniculatus,Legume,130.701919,0.185,40.1,2.91
G6,Tall-grass,3Marmot,Carex sempervirens,Grass,73.39176471,0.104,41.7,2.93
G6,Tall-grass,1Control,Festuca rubra,Forb,169.277,0.146,39.1,2.93
G3,Tall-grass,4Mouse,Briza media,Sedge,93.58377926,0.241,42.1,2.94
G5,Tall-grass,3Marmot,Lotus corniculatus,Legume,123.0279236,0.15,40.6,2.95
G1,Tall-grass,5Insect,Trifolium repens,Legume,209.4043776,0.114,40.5,2.99
G5,Tall-grass,2Deer,Lotus corniculatus,Legume,132.7827586,0.159,41.4,2.99
G5,Tall-grass,3Marmot,Lotus corniculatus,Legume,155.5727848,0.171,41.1,3.01
G5,Tall-grass,3Marmot,Trifolium repens,Legume,203.2178112,0.15,40.3,3.05
G5,Tall-grass,5Insect,Lotus corniculatus,Legume,131.8483871,0.128,41.7,3.06
G1,Tall-grass,3Marmot,Lotus corniculatus,Legume,123.8418142,0.136,40.9,3.07
G4,Tall-grass,5Insect,Crepis aurea,Grass,154.9013928,0.143,41.5,3.07
G1,Tall-grass,1Control,Lotus corniculatus,Legume,119.3748276,0.138,40.3,3.09
G5,Tall-grass,4Mouse,Lotus corniculatus,Legume,145.7265176,0.226,41.1,3.09
G6,Tall-grass,5Insect,Briza media,Sedge,105.3180824,0.183,42.5,3.09
G4,Tall-grass,5Insect,Carex sempervirens,Grass,80.35951009,0.118,41.4,3.1
G4,Tall-grass,2Deer,Lotus corniculatus,Legume,90.02978723,0.19,42.3,3.14
G3,Tall-grass,5Insect,Festuca rubra,Forb,213.8855422,0.246,40.2,3.15
G6,Tall-grass,1Control,Galium pumilum,Forb,118.0331155,0.154,39.5,3.16
G3,Tall-grass,2Deer,Galium pumilum,Forb,260.9847706,0.25,40.7,3.2
G4,Tall-grass,3Marmot,Lotus corniculatus,Legume,102.9088462,0.203,40.3,3.2
G2,Tall-grass,2Deer,Lotus corniculatus,Legume,133.6196335,0.22,39.8,3.21
G5,Tall-grass,4Mouse,Lotus corniculatus,Legume,115.8868627,0.184,41.5,3.21
G5,Tall-grass,2Deer,Festuca rubra,Forb,166.6589147,0.153,41.7,3.21
G2,Tall-grass,1Control,Lotus corniculatus,Legume,106.4681529,0.18,40.6,3.22
G6,Tall-grass,3Marmot,Festuca rubra,Forb,119.4388889,0.155,39.8,3.22
G5,Tall-grass,1Control,Lotus corniculatus,Legume,9.700352941,0.145,41.2,3.23
G1,Tall-grass,5Insect,Lotus corniculatus,Legume,157.4368973,0.173,40.5,3.24
G4,Tall-grass,3Marmot,Trifolium repens,Legume,169.726283,0.166,40.2,3.25
G4,Tall-grass,4Mouse,Festuca rubra,Forb,142.8474026,0.236,41.7,3.26
G6,Tall-grass,3Marmot,Galium pumilum,Forb,177.3079518,0.218,42,3.26
G1,Tall-grass,1Control,Trifolium repens,Legume,255.4547771,0.176,40.6,3.27
G5,Tall-grass,1Control,Trifolium repens,Legume,206.8110266,0.139,41.4,3.27
G1,Tall-grass,3Marmot,Trifolium repens,Legume,204.8085714,0.122,40.8,3.28
G3,Tall-grass,3Marmot,Galium pumilum,Forb,224.4638771,0.269,41.3,3.28
G5,Tall-grass,2Deer,Trifolium repens,Legume,165.5858537,0.112,41.4,3.28
G5,Tall-grass,4Mouse,Trifolium repens,Legume,241.3140898,0.132,41.2,3.28
G5,Tall-grass,3Marmot,Trifolium repens,Legume,205.2139241,0.148,41.7,3.29
G5,Tall-grass,5Insect,Trifolium repens,Legume,178.7695219,0.138,41.4,3.29
G6,Tall-grass,3Marmot,Galium pumilum,Forb,215.7399395,0.178,39.6,3.3
G4,Tall-grass,2Deer,Galium pumilum,Forb,160.0076923,0.219,40.7,3.32
G5,Tall-grass,2Deer,Lotus corniculatus,Legume,106.6947735,0.156,41,3.32
G1,Tall-grass,4Mouse,Trifolium repens,Legume,223.8964384,0.156,40.5,3.34
G3,Tall-grass,5Insect,Galium pumilum,Forb,185.4345315,0.213,40.3,3.34
G4,Tall-grass,2Deer,Trifolium repens,Legume,181.5383562,0.151,41.9,3.35
G5,Tall-grass,1Control,Lotus corniculatus,Legume,120.9429319,0.161,41.7,3.35
G5,Tall-grass,5Insect,Festuca rubra,Forb,293.6622642,0.22,41.5,3.35
G4,Tall-grass,4Mouse,Galium pumilum,Forb,173.8662269,0.257,41.2,3.37
G1,Tall-grass,5Insect,Trifolium repens,Legume,419.0468493,0.146,40.7,3.38
G5,Tall-grass,4Mouse,Trifolium repens,Legume,212.11625,0.18,41.7,3.38
G5,Tall-grass,1Control,Trifolium repens,Legume,168.2042328,0.168,41.2,3.38
G2,Tall-grass,3Marmot,Lotus corniculatus,Legume,110.1648352,0.194,40.7,3.39
G4,Tall-grass,3Marmot,Festuca rubra,Forb,158.7021739,0.23,41.3,3.39
G1,Tall-grass,2Deer,Trifolium repens,Legume,209.9651246,0.163,40.6,3.42
G4,Tall-grass,4Mouse,Trifolium repens,Legume,186.5268293,0.152,42.2,3.42
G4,Tall-grass,1Control,Festuca rubra,Forb,144.938835,0.136,40.2,3.43
G4,Tall-grass,2Deer,Festuca rubra,Forb,131.7631148,0.215,40.8,3.43
G2,Tall-grass,4Mouse,Lotus corniculatus,Legume,122.8904282,0.215,40.4,3.44
G1,Tall-grass,4Mouse,Lotus corniculatus,Legume,110.929979,0.18,40.7,3.47
G4,Tall-grass,1Control,Trifolium repens,Legume,168.360339,0.116,41.6,3.47
G4,Tall-grass,3Marmot,Galium pumilum,Forb,304.8250608,0.255,41.5,3.49
G5,Tall-grass,2Deer,Trifolium repens,Legume,187.4960526,0.141,41.3,3.49
G1,Tall-grass,2Deer,Lotus corniculatus,Legume,112.7021164,0.179,40.7,3.5
G3,Tall-grass,3Marmot,Festuca rubra,Forb,167.8457516,0.249,41.4,3.5
G6,Tall-grass,4Mouse,Galium pumilum,Forb,173.2235925,0.183,40.4,3.5
G3,Tall-grass,1Control,Festuca rubra,Forb,145.0751724,0.243,41.7,3.52
G5,Tall-grass,5Insect,Lotus corniculatus,Legume,181.1922438,0.176,42.2,3.52
G4,Tall-grass,5Insect,Galium pumilum,Forb,186.1261468,0.195,39.8,3.55
G4,Tall-grass,1Control,Lotus corniculatus,Legume,106.5828338,0.177,42.1,3.57
G4,Tall-grass,5Insect,Trifolium repens,Legume,222.7304671,0.156,40.1,3.61
G6,Tall-grass,1Control,Lotus corniculatus,Legume,87.48780488,0.158,41.3,3.62
G6,Tall-grass,4Mouse,Festuca rubra,Forb,141.6853801,0.201,40.7,3.65
G4,Tall-grass,5Insect,Festuca rubra,Forb,193.1546667,0.152,39.1,3.67
G4,Tall-grass,4Mouse,Lotus corniculatus,Legume,139.6264317,0.248,42.5,3.68
G5,Tall-grass,5Insect,Galium pumilum,Forb,307.0390582,0.143,41.5,3.71
G3,Tall-grass,1Control,Galium pumilum,Forb,206.3990196,0.268,41.3,3.72
G4,Tall-grass,5Insect,Lotus corniculatus,Legume,154.6776042,0.192,40.2,3.73
G3,Tall-grass,4Mouse,Trifolium repens,Legume,211.1477541,0.291,41.7,4.03
G3,Tall-grass,4Mouse,Galium pumilum,Forb,221.5927048,0.314,43.5,4.04
G3,Tall-grass,5Insect,Trifolium repens,Legume,228.415748,0.282,41.9,4.06
G3,Tall-grass,1Control,Lotus corniculatus,Legume,114.1439024,0.267,42,4.19
G3,Tall-grass,5Insect,Lotus corniculatus,Legume,157.3753479,0.312,42.1,4.24
G3,Tall-grass,1Control,Trifolium repens,Legume,160.8,0.258,41.9,4.33
G3,Tall-grass,2Deer,Trifolium repens,Legume,191.2225166,0.257,41.5,4.35
G6,Tall-grass,3Marmot,Trifolium repens,Legume,195.4589074,0.175,42.6,4.4
G3,Tall-grass,3Marmot,Trifolium repens,Legume,215.7745455,0.296,42,4.52
G6,Tall-grass,1Control,Trifolium repens,Legume,135.7467662,0.133,41.6,4.56
G3,Tall-grass,2Deer,Lotus corniculatus,Legume,143.4651724,0.296,41.6,4.57
G6,Tall-grass,2Deer,Trifolium repens,Legume,161.2833333,0.13,42.7,4.66
G3,Tall-grass,3Marmot,Lotus corniculatus,Legume,163.8448276,0.266,42.2,4.83
G6,Tall-grass,2Deer,Lotus corniculatus,Legume,91.3480315,0.143,43.3,4.91
G6,Tall-grass,5Insect,Trifolium repens,Legume,224.3868106,0.222,42.7,5.08
G6,Tall-grass,4Mouse,Trifolium repens,Legume,178.4395722,0.166,44.8,5.96
G5,Tall-grass,5Insect,Carex sempervirens,Grass,NA,0.138,NA,NA
G6,Tall-grass,5Insect,Galium pumilum,Forb,181.9675204,0.16,NA,NA
