scrubbed_family,scrubbed_genus,scrubbed_species_binomial,trait_name,trait_value,unit,method,latitude,longitude,elevation_m,url_source,source_citation,project_pi,verbatim_family,verbatim_scientific_name,name_submitted,family_matched,name_matched,name_matched_author,higher_plant_group,tnrs_warning,matched_taxonomic_status,scrubbed_taxonomic_status,scrubbed_family.1,scrubbed_genus.1,scrubbed_specific_epithet,scrubbed_taxon_name_no_author,scrubbed_taxon_canonical,scrubbed_author,scrubbed_taxon_name_with_author,scrubbed_species_binomial_with_morphospecies,access,id
Cactaceae,Coryphantha,Coryphantha robustispina,whole plant growth form diversity,Herb_Shrub,,Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.,,,,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K., Sandel, B., Boyle, B., Enquist, B. J., JÃÂ¸rgensen, P. M., Kattge, J., McGill, B. J., Morueta-Holme, N., Peet, R. K., Spencer, N. J., Violle, C., Wiser, S. K. and Svenning, J.-C. (2016), A plant growth form dataset for the New World. Ecology, 97: 3243. doi:10.1002/ecy.1569","Engemann, K",engemann@bios.au.dk,Coryphantha robustispina,Cactaceae Coryphantha robustispina,Cactaceae,Coryphantha robustispina,(Schott ex Engelm.) Britton & Rose,flowering plants,,Accepted,Accepted,Cactaceae,Coryphantha,robustispina,Coryphantha robustispina,Coryphantha robustispina,(Schott ex Engelm.) Britton & Rose,Coryphantha robustispina (Schott ex Engelm.) Britton & Rose,Coryphantha robustispina,public,4563233
Cactaceae,Coryphantha,Coryphantha sulcata,whole plant growth form,Shrub,,Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.,,,,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K., Sandel, B., Boyle, B., Enquist, B. J., JÃÂ¸rgensen, P. M., Kattge, J., McGill, B. J., Morueta-Holme, N., Peet, R. K., Spencer, N. J., Violle, C., Wiser, S. K. and Svenning, J.-C. (2016), A plant growth form dataset for the New World. Ecology, 97: 3243. doi:10.1002/ecy.1569","Engemann, K",engemann@bios.au.dk,Coryphantha sulcata,Cactaceae Coryphantha sulcata,Cactaceae,Coryphantha sulcata,(Engelm.) Britton & Rose,flowering plants,,Accepted,Accepted,Cactaceae,Coryphantha,sulcata,Coryphantha sulcata,Coryphantha sulcata,(Engelm.) Britton & Rose,Coryphantha sulcata (Engelm.) Britton & Rose,Coryphantha sulcata,public,4563234
Cactaceae,Coryphantha,Coryphantha sulcata,whole plant growth form diversity,Shrub,,Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.,,,,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K., Sandel, B., Boyle, B., Enquist, B. J., JÃÂ¸rgensen, P. M., Kattge, J., McGill, B. J., Morueta-Holme, N., Peet, R. K., Spencer, N. J., Violle, C., Wiser, S. K. and Svenning, J.-C. (2016), A plant growth form dataset for the New World. Ecology, 97: 3243. doi:10.1002/ecy.1569","Engemann, K",engemann@bios.au.dk,Coryphantha sulcata,Cactaceae Coryphantha sulcata,Cactaceae,Coryphantha sulcata,(Engelm.) Britton & Rose,flowering plants,,Accepted,Accepted,Cactaceae,Coryphantha,sulcata,Coryphantha sulcata,Coryphantha sulcata,(Engelm.) Britton & Rose,Coryphantha sulcata (Engelm.) Britton & Rose,Coryphantha sulcata,public,4563235
Cactaceae,Cylindropuntia,Cylindropuntia abysii,whole plant growth form diversity,Shrub,,Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.,,,,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K., Sandel, B., Boyle, B., Enquist, B. J., JÃÂ¸rgensen, P. M., Kattge, J., McGill, B. J., Morueta-Holme, N., Peet, R. K., Spencer, N. J., Violle, C., Wiser, S. K. and Svenning, J.-C. (2016), A plant growth form dataset for the New World. Ecology, 97: 3243. doi:10.1002/ecy.1569","Engemann, K",engemann@bios.au.dk,Cylindropuntia abysii,Cactaceae Cylindropuntia abysii,Cactaceae,Cylindropuntia abysii,(Hester) Backeb.,flowering plants,,Accepted,Accepted,Cactaceae,Cylindropuntia,abysii,Cylindropuntia abysii,Cylindropuntia abysii,(Hester) Backeb.,Cylindropuntia abysii (Hester) Backeb.,Cylindropuntia abysii,public,4563237
Cactaceae,Cylindropuntia,Cylindropuntia acanthocarpa,whole plant growth form,Shrub,,Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.,,,,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K., Sandel, B., Boyle, B., Enquist, B. J., JÃÂ¸rgensen, P. M., Kattge, J., McGill, B. J., Morueta-Holme, N., Peet, R. K., Spencer, N. J., Violle, C., Wiser, S. K. and Svenning, J.-C. (2016), A plant growth form dataset for the New World. Ecology, 97: 3243. doi:10.1002/ecy.1569","Engemann, K",engemann@bios.au.dk,Cylindropuntia acanthocarpa,Cactaceae Cylindropuntia acanthocarpa,Cactaceae,Cylindropuntia acanthocarpa,(Engelm. & J.M. Bigelow) F.M. Knuth,flowering plants,,Accepted,Accepted,Cactaceae,Cylindropuntia,acanthocarpa,Cylindropuntia acanthocarpa,Cylindropuntia acanthocarpa,(Engelm. & J.M. Bigelow) F.M. Knuth,Cylindropuntia acanthocarpa (Engelm. & J.M. Bigelow) F.M. Knuth,Cylindropuntia acanthocarpa,public,4563238
Cactaceae,Cylindropuntia,Cylindropuntia acanthocarpa,whole plant growth form diversity,Herb_Vine_Shrub,,Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.,,,,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K., Sandel, B., Boyle, B., Enquist, B. J., JÃÂ¸rgensen, P. M., Kattge, J., McGill, B. J., Morueta-Holme, N., Peet, R. K., Spencer, N. J., Violle, C., Wiser, S. K. and Svenning, J.-C. (2016), A plant growth form dataset for the New World. Ecology, 97: 3243. doi:10.1002/ecy.1569","Engemann, K",engemann@bios.au.dk,Cylindropuntia acanthocarpa,Cactaceae Cylindropuntia acanthocarpa,Cactaceae,Cylindropuntia acanthocarpa,(Engelm. & J.M. Bigelow) F.M. Knuth,flowering plants,,Accepted,Accepted,Cactaceae,Cylindropuntia,acanthocarpa,Cylindropuntia acanthocarpa,Cylindropuntia acanthocarpa,(Engelm. & J.M. Bigelow) F.M. Knuth,Cylindropuntia acanthocarpa (Engelm. & J.M. Bigelow) F.M. Knuth,Cylindropuntia acanthocarpa,public,4563239
Cactaceae,Cylindropuntia,Cylindropuntia arbuscula,whole plant growth form,Shrub,,Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.,,,,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K., Sandel, B., Boyle, B., Enquist, B. J., JÃÂ¸rgensen, P. M., Kattge, J., McGill, B. J., Morueta-Holme, N., Peet, R. K., Spencer, N. J., Violle, C., Wiser, S. K. and Svenning, J.-C. (2016), A plant growth form dataset for the New World. Ecology, 97: 3243. doi:10.1002/ecy.1569","Engemann, K",engemann@bios.au.dk,Cylindropuntia arbuscula,Cactaceae Cylindropuntia arbuscula,Cactaceae,Cylindropuntia arbuscula,(Engelm.) F.M. Knuth,flowering plants,,Accepted,Accepted,Cactaceae,Cylindropuntia,arbuscula,Cylindropuntia arbuscula,Cylindropuntia arbuscula,(Engelm.) F.M. Knuth,Cylindropuntia arbuscula (Engelm.) F.M. Knuth,Cylindropuntia arbuscula,public,4563240
Cactaceae,Cylindropuntia,Cylindropuntia arbuscula,whole plant growth form diversity,Shrub,,Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.,,,,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K., Sandel, B., Boyle, B., Enquist, B. J., JÃÂ¸rgensen, P. M., Kattge, J., McGill, B. J., Morueta-Holme, N., Peet, R. K., Spencer, N. J., Violle, C., Wiser, S. K. and Svenning, J.-C. (2016), A plant growth form dataset for the New World. Ecology, 97: 3243. doi:10.1002/ecy.1569","Engemann, K",engemann@bios.au.dk,Cylindropuntia arbuscula,Cactaceae Cylindropuntia arbuscula,Cactaceae,Cylindropuntia arbuscula,(Engelm.) F.M. Knuth,flowering plants,,Accepted,Accepted,Cactaceae,Cylindropuntia,arbuscula,Cylindropuntia arbuscula,Cylindropuntia arbuscula,(Engelm.) F.M. Knuth,Cylindropuntia arbuscula (Engelm.) F.M. Knuth,Cylindropuntia arbuscula,public,4563241
Cactaceae,Cylindropuntia,Cylindropuntia californica,whole plant growth form,Shrub,,Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.,,,,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K., Sandel, B., Boyle, B., Enquist, B. J., JÃÂ¸rgensen, P. M., Kattge, J., McGill, B. J., Morueta-Holme, N., Peet, R. K., Spencer, N. J., Violle, C., Wiser, S. K. and Svenning, J.-C. (2016), A plant growth form dataset for the New World. Ecology, 97: 3243. doi:10.1002/ecy.1569","Engemann, K",engemann@bios.au.dk,Cylindropuntia californica,Cactaceae Cylindropuntia californica,Cactaceae,Cylindropuntia californica,(Torr. & A. Gray) F.M. Knuth,flowering plants,,Accepted,Accepted,Cactaceae,Cylindropuntia,californica,Cylindropuntia californica,Cylindropuntia californica,(Torr. & A. Gray) F.M. Knuth,Cylindropuntia californica (Torr. & A. Gray) F.M. Knuth,Cylindropuntia californica,public,4563242
Cactaceae,Cylindropuntia,Cylindropuntia californica,whole plant growth form diversity,Shrub,,Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.,,,,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K., Sandel, B., Boyle, B., Enquist, B. J., JÃÂ¸rgensen, P. M., Kattge, J., McGill, B. J., Morueta-Holme, N., Peet, R. K., Spencer, N. J., Violle, C., Wiser, S. K. and Svenning, J.-C. (2016), A plant growth form dataset for the New World. Ecology, 97: 3243. doi:10.1002/ecy.1569","Engemann, K",engemann@bios.au.dk,Cylindropuntia californica,Cactaceae Cylindropuntia californica,Cactaceae,Cylindropuntia californica,(Torr. & A. Gray) F.M. Knuth,flowering plants,,Accepted,Accepted,Cactaceae,Cylindropuntia,californica,Cylindropuntia californica,Cylindropuntia californica,(Torr. & A. Gray) F.M. Knuth,Cylindropuntia californica (Torr. & A. Gray) F.M. Knuth,Cylindropuntia californica,public,4563243
Cactaceae,Cylindropuntia,Cylindropuntia davisii,whole plant growth form,Shrub,,Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.,,,,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K., Sandel, B., Boyle, B., Enquist, B. J., JÃÂ¸rgensen, P. M., Kattge, J., McGill, B. J., Morueta-Holme, N., Peet, R. K., Spencer, N. J., Violle, C., Wiser, S. K. and Svenning, J.-C. (2016), A plant growth form dataset for the New World. Ecology, 97: 3243. doi:10.1002/ecy.1569","Engemann, K",engemann@bios.au.dk,Cylindropuntia davisii,Cactaceae Cylindropuntia davisii,Cactaceae,Cylindropuntia davisii,(Engelm. & J.M. Bigelow) F.M. Knuth,flowering plants,,Accepted,Accepted,Cactaceae,Cylindropuntia,davisii,Cylindropuntia davisii,Cylindropuntia davisii,(Engelm. & J.M. Bigelow) F.M. Knuth,Cylindropuntia davisii (Engelm. & J.M. Bigelow) F.M. Knuth,Cylindropuntia davisii,public,4563244
Cactaceae,Cylindropuntia,Cylindropuntia davisii,whole plant growth form diversity,Shrub,,Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.,,,,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K., Sandel, B., Boyle, B., Enquist, B. J., JÃÂ¸rgensen, P. M., Kattge, J., McGill, B. J., Morueta-Holme, N., Peet, R. K., Spencer, N. J., Violle, C., Wiser, S. K. and Svenning, J.-C. (2016), A plant growth form dataset for the New World. Ecology, 97: 3243. doi:10.1002/ecy.1569","Engemann, K",engemann@bios.au.dk,Cylindropuntia davisii,Cactaceae Cylindropuntia davisii,Cactaceae,Cylindropuntia davisii,(Engelm. & J.M. Bigelow) F.M. Knuth,flowering plants,,Accepted,Accepted,Cactaceae,Cylindropuntia,davisii,Cylindropuntia davisii,Cylindropuntia davisii,(Engelm. & J.M. Bigelow) F.M. Knuth,Cylindropuntia davisii (Engelm. & J.M. Bigelow) F.M. Knuth,Cylindropuntia davisii,public,4563245
Cactaceae,Cylindropuntia,Cylindropuntia echinocarpa,whole plant growth form,Shrub,,Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.,,,,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K., Sandel, B., Boyle, B., Enquist, B. J., JÃÂ¸rgensen, P. M., Kattge, J., McGill, B. J., Morueta-Holme, N., Peet, R. K., Spencer, N. J., Violle, C., Wiser, S. K. and Svenning, J.-C. (2016), A plant growth form dataset for the New World. Ecology, 97: 3243. doi:10.1002/ecy.1569","Engemann, K",engemann@bios.au.dk,Cylindropuntia echinocarpa,Cactaceae Cylindropuntia echinocarpa,Cactaceae,Cylindropuntia echinocarpa,(Engelm. & J.M. Bigelow) F.M. Knuth,flowering plants,,Accepted,Accepted,Cactaceae,Cylindropuntia,echinocarpa,Cylindropuntia echinocarpa,Cylindropuntia echinocarpa,(Engelm. & J.M. Bigelow) F.M. Knuth,Cylindropuntia echinocarpa (Engelm. & J.M. Bigelow) F.M. Knuth,Cylindropuntia echinocarpa,public,4563246
Cactaceae,Echinocactus,Echinocactus texensis,whole plant growth form diversity,Shrub,,Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.,,,,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K., Sandel, B., Boyle, B., Enquist, B. J., JÃÂ¸rgensen, P. M., Kattge, J., McGill, B. J., Morueta-Holme, N., Peet, R. K., Spencer, N. J., Violle, C., Wiser, S. K. and Svenning, J.-C. (2016), A plant growth form dataset for the New World. Ecology, 97: 3243. doi:10.1002/ecy.1569","Engemann, K",engemann@bios.au.dk,Echinocactus texensis,Cactaceae Echinocactus texensis,Cactaceae,Echinocactus texensis,Hopffer,flowering plants,,Accepted,Accepted,Cactaceae,Echinocactus,texensis,Echinocactus texensis,Echinocactus texensis,Hopffer,Echinocactus texensis Hopffer,Echinocactus texensis,public,4563247
Cactaceae,Cylindropuntia,Cylindropuntia echinocarpa,whole plant growth form diversity,Shrub,,Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.,,,,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K., Sandel, B., Boyle, B., Enquist, B. J., JÃÂ¸rgensen, P. M., Kattge, J., McGill, B. J., Morueta-Holme, N., Peet, R. K., Spencer, N. J., Violle, C., Wiser, S. K. and Svenning, J.-C. (2016), A plant growth form dataset for the New World. Ecology, 97: 3243. doi:10.1002/ecy.1569","Engemann, K",engemann@bios.au.dk,Cylindropuntia echinocarpa,Cactaceae Cylindropuntia echinocarpa,Cactaceae,Cylindropuntia echinocarpa,(Engelm. & J.M. Bigelow) F.M. Knuth,flowering plants,,Accepted,Accepted,Cactaceae,Cylindropuntia,echinocarpa,Cylindropuntia echinocarpa,Cylindropuntia echinocarpa,(Engelm. & J.M. Bigelow) F.M. Knuth,Cylindropuntia echinocarpa (Engelm. & J.M. Bigelow) F.M. Knuth,Cylindropuntia echinocarpa,public,4563248
Cactaceae,Cylindropuntia,Cylindropuntia ganderi,whole plant growth form,Shrub,,Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.,,,,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K., Sandel, B., Boyle, B., Enquist, B. J., JÃÂ¸rgensen, P. M., Kattge, J., McGill, B. J., Morueta-Holme, N., Peet, R. K., Spencer, N. J., Violle, C., Wiser, S. K. and Svenning, J.-C. (2016), A plant growth form dataset for the New World. Ecology, 97: 3243. doi:10.1002/ecy.1569","Engemann, K",engemann@bios.au.dk,Cylindropuntia ganderi,Cactaceae Cylindropuntia ganderi,Cactaceae,Cylindropuntia ganderi,(C.B. Wolf) Rebman & Pinkava,flowering plants,,Accepted,Accepted,Cactaceae,Cylindropuntia,ganderi,Cylindropuntia ganderi,Cylindropuntia ganderi,(C.B. Wolf) Rebman & Pinkava,Cylindropuntia ganderi (C.B. Wolf) Rebman & Pinkava,Cylindropuntia ganderi,public,4563249
Cactaceae,Cylindropuntia,Cylindropuntia ganderi,whole plant growth form diversity,Shrub,,Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.,,,,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K., Sandel, B., Boyle, B., Enquist, B. J., JÃÂ¸rgensen, P. M., Kattge, J., McGill, B. J., Morueta-Holme, N., Peet, R. K., Spencer, N. J., Violle, C., Wiser, S. K. and Svenning, J.-C. (2016), A plant growth form dataset for the New World. Ecology, 97: 3243. doi:10.1002/ecy.1569","Engemann, K",engemann@bios.au.dk,Cylindropuntia ganderi,Cactaceae Cylindropuntia ganderi,Cactaceae,Cylindropuntia ganderi,(C.B. Wolf) Rebman & Pinkava,flowering plants,,Accepted,Accepted,Cactaceae,Cylindropuntia,ganderi,Cylindropuntia ganderi,Cylindropuntia ganderi,(C.B. Wolf) Rebman & Pinkava,Cylindropuntia ganderi (C.B. Wolf) Rebman & Pinkava,Cylindropuntia ganderi,public,4563250
Cactaceae,Cylindropuntia,Cylindropuntia imbricata,whole plant growth form,Shrub,,Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.,,,,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K., Sandel, B., Boyle, B., Enquist, B. J., JÃÂ¸rgensen, P. M., Kattge, J., McGill, B. J., Morueta-Holme, N., Peet, R. K., Spencer, N. J., Violle, C., Wiser, S. K. and Svenning, J.-C. (2016), A plant growth form dataset for the New World. Ecology, 97: 3243. doi:10.1002/ecy.1569","Engemann, K",engemann@bios.au.dk,Cylindropuntia imbricata,Cactaceae Cylindropuntia imbricata,Cactaceae,Cylindropuntia imbricata,(Haw.) F.M. Knuth,flowering plants,,Accepted,Accepted,Cactaceae,Cylindropuntia,imbricata,Cylindropuntia imbricata,Cylindropuntia imbricata,(Haw.) F.M. Knuth,Cylindropuntia imbricata (Haw.) F.M. Knuth,Cylindropuntia imbricata,public,4563251
Cactaceae,Cylindropuntia,Cylindropuntia imbricata,whole plant growth form diversity,Shrub,,Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.,,,,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K., Sandel, B., Boyle, B., Enquist, B. J., JÃÂ¸rgensen, P. M., Kattge, J., McGill, B. J., Morueta-Holme, N., Peet, R. K., Spencer, N. J., Violle, C., Wiser, S. K. and Svenning, J.-C. (2016), A plant growth form dataset for the New World. Ecology, 97: 3243. doi:10.1002/ecy.1569","Engemann, K",engemann@bios.au.dk,Cylindropuntia imbricata,Cactaceae Cylindropuntia imbricata,Cactaceae,Cylindropuntia imbricata,(Haw.) F.M. Knuth,flowering plants,,Accepted,Accepted,Cactaceae,Cylindropuntia,imbricata,Cylindropuntia imbricata,Cylindropuntia imbricata,(Haw.) F.M. Knuth,Cylindropuntia imbricata (Haw.) F.M. Knuth,Cylindropuntia imbricata,public,4563252
Cactaceae,Cylindropuntia,Cylindropuntia kleiniae,whole plant growth form,Shrub,,Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.,,,,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K., Sandel, B., Boyle, B., Enquist, B. J., JÃÂ¸rgensen, P. M., Kattge, J., McGill, B. J., Morueta-Holme, N., Peet, R. K., Spencer, N. J., Violle, C., Wiser, S. K. and Svenning, J.-C. (2016), A plant growth form dataset for the New World. Ecology, 97: 3243. doi:10.1002/ecy.1569","Engemann, K",engemann@bios.au.dk,Cylindropuntia kleiniae,Cactaceae Cylindropuntia kleiniae,Cactaceae,Cylindropuntia kleiniae,(DC.) F.M. Knuth,flowering plants,,Accepted,Accepted,Cactaceae,Cylindropuntia,kleiniae,Cylindropuntia kleiniae,Cylindropuntia kleiniae,(DC.) F.M. Knuth,Cylindropuntia kleiniae (DC.) F.M. Knuth,Cylindropuntia kleiniae,public,4563253
Cactaceae,Cylindropuntia,Cylindropuntia kleiniae,whole plant growth form diversity,Shrub,,Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.,,,,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K., Sandel, B., Boyle, B., Enquist, B. J., JÃÂ¸rgensen, P. M., Kattge, J., McGill, B. J., Morueta-Holme, N., Peet, R. K., Spencer, N. J., Violle, C., Wiser, S. K. and Svenning, J.-C. (2016), A plant growth form dataset for the New World. Ecology, 97: 3243. doi:10.1002/ecy.1569","Engemann, K",engemann@bios.au.dk,Cylindropuntia kleiniae,Cactaceae Cylindropuntia kleiniae,Cactaceae,Cylindropuntia kleiniae,(DC.) F.M. Knuth,flowering plants,,Accepted,Accepted,Cactaceae,Cylindropuntia,kleiniae,Cylindropuntia kleiniae,Cylindropuntia kleiniae,(DC.) F.M. Knuth,Cylindropuntia kleiniae (DC.) F.M. Knuth,Cylindropuntia kleiniae,public,4563254
Cactaceae,Cylindropuntia,Cylindropuntia leptocaulis,whole plant growth form,Shrub,,Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.,,,,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K., Sandel, B., Boyle, B., Enquist, B. J., JÃÂ¸rgensen, P. M., Kattge, J., McGill, B. J., Morueta-Holme, N., Peet, R. K., Spencer, N. J., Violle, C., Wiser, S. K. and Svenning, J.-C. (2016), A plant growth form dataset for the New World. Ecology, 97: 3243. doi:10.1002/ecy.1569","Engemann, K",engemann@bios.au.dk,Cylindropuntia leptocaulis,Cactaceae Cylindropuntia leptocaulis,Cactaceae,Cylindropuntia leptocaulis,(DC.) F.M. Knuth,flowering plants,,Accepted,Accepted,Cactaceae,Cylindropuntia,leptocaulis,Cylindropuntia leptocaulis,Cylindropuntia leptocaulis,(DC.) F.M. Knuth,Cylindropuntia leptocaulis (DC.) F.M. Knuth,Cylindropuntia leptocaulis,public,4563255
Cactaceae,Cylindropuntia,Cylindropuntia leptocaulis,whole plant growth form diversity,Shrub,,Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.,,,,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K., Sandel, B., Boyle, B., Enquist, B. J., JÃÂ¸rgensen, P. M., Kattge, J., McGill, B. J., Morueta-Holme, N., Peet, R. K., Spencer, N. J., Violle, C., Wiser, S. K. and Svenning, J.-C. (2016), A plant growth form dataset for the New World. Ecology, 97: 3243. doi:10.1002/ecy.1569","Engemann, K",engemann@bios.au.dk,Cylindropuntia leptocaulis,Cactaceae Cylindropuntia leptocaulis,Cactaceae,Cylindropuntia leptocaulis,(DC.) F.M. Knuth,flowering plants,,Accepted,Accepted,Cactaceae,Cylindropuntia,leptocaulis,Cylindropuntia leptocaulis,Cylindropuntia leptocaulis,(DC.) F.M. Knuth,Cylindropuntia leptocaulis (DC.) F.M. Knuth,Cylindropuntia leptocaulis,public,4563256
Cactaceae,Cylindropuntia,Cylindropuntia munzii,whole plant growth form,Shrub,,Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.,,,,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K., Sandel, B., Boyle, B., Enquist, B. J., JÃÂ¸rgensen, P. M., Kattge, J., McGill, B. J., Morueta-Holme, N., Peet, R. K., Spencer, N. J., Violle, C., Wiser, S. K. and Svenning, J.-C. (2016), A plant growth form dataset for the New World. Ecology, 97: 3243. doi:10.1002/ecy.1569","Engemann, K",engemann@bios.au.dk,Cylindropuntia munzii,Cactaceae Cylindropuntia munzii,Cactaceae,Cylindropuntia munzii,(C.B. Wolf) Backeb.,flowering plants,,Accepted,Accepted,Cactaceae,Cylindropuntia,munzii,Cylindropuntia munzii,Cylindropuntia munzii,(C.B. Wolf) Backeb.,Cylindropuntia munzii (C.B. Wolf) Backeb.,Cylindropuntia munzii,public,4563257
